"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",2559,"2015",1107
"alto hospicio","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",222,"2015",1107
"alto hospicio","chilena (exclusivamente)","chilena (exclusivamente)","hombre",55819,"2015",1107
"alto hospicio","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",982,"2015",1107
"alto hospicio","chilena (exclusivamente)","chilena (exclusivamente)","mujer",51863,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",3375,"2015",1107
"ancud","chilena (exclusivamente)","chilena (exclusivamente)","mujer",21450,"2015",10202
"ancud","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",159,"2015",10202
"ancud","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",55,"2015",10202
"ancud","chilena (exclusivamente)","chilena (exclusivamente)","hombre",19427,"2015",10202
"ancud","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",92,"2015",10202
"angol","chilena (exclusivamente)","chilena (exclusivamente)","hombre",22793,"2015",9201
"angol","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",122,"2015",9201
"angol","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",22,"2015",9201
"angol","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",22,"2015",9201
"angol","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",62,"2015",9201
"angol","chilena (exclusivamente)","chilena (exclusivamente)","mujer",26449,"2015",9201
"antofagasta","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",851,"2015",2101
"antofagasta","chilena (exclusivamente)","chilena (exclusivamente)","mujer",187538,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",7804,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",4295,"2015",2101
"antofagasta","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",946,"2015",2101
"antofagasta","chilena (exclusivamente)","chilena (exclusivamente)","hombre",174741,"2015",2101
"antofagasta","sin dato","sin dato","hombre",203,"2015",2101
"arauco","chilena (exclusivamente)","chilena (exclusivamente)","hombre",20616,"2015",8202
"arauco","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",58,"2015",8202
"arauco","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",143,"2015",8202
"arauco","chilena (exclusivamente)","chilena (exclusivamente)","mujer",23759,"2015",8202
"arica","chilena (exclusivamente)","chilena (exclusivamente)","mujer",79108,"2015",15101
"arica","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",504,"2015",15101
"arica","sin dato","sin dato","hombre",29,"2015",15101
"arica","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",3046,"2015",15101
"arica","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",2385,"2015",15101
"arica","chilena (exclusivamente)","chilena (exclusivamente)","hombre",78885,"2015",15101
"arica","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",516,"2015",15101
"arica","sin dato","sin dato","mujer",63,"2015",15101
"aysén","chilena (exclusivamente)","chilena (exclusivamente)","hombre",12936,"2015",11201
"aysén","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",120,"2015",11201
"aysén","chilena (exclusivamente)","chilena (exclusivamente)","mujer",13415,"2015",11201
"aysén","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",117,"2015",11201
"aysén","sin dato","sin dato","mujer",20,"2015",11201
"aysén","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",92,"2015",11201
"calama","chilena (exclusivamente)","chilena (exclusivamente)","hombre",64556,"2015",2201
"calama","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",869,"2015",2201
"calama","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",5528,"2015",2201
"calama","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",176,"2015",2201
"calama","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",6792,"2015",2201
"calama","chilena (exclusivamente)","chilena (exclusivamente)","mujer",67382,"2015",2201
"calbuco","chilena (exclusivamente)","chilena (exclusivamente)","mujer",17657,"2015",10102
"calbuco","chilena (exclusivamente)","chilena (exclusivamente)","hombre",18618,"2015",10102
"calbuco","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",166,"2015",10102
"calbuco","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",46,"2015",10102
"calera","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",210,"2015",5502
"calera","chilena (exclusivamente)","chilena (exclusivamente)","hombre",26921,"2015",5502
"calera","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",355,"2015",5502
"calera","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",22,"2015",5502
"calera","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",269,"2015",5502
"calera","chilena (exclusivamente)","chilena (exclusivamente)","mujer",28157,"2015",5502
"cañete","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",76,"2015",8203
"cañete","chilena (exclusivamente)","chilena (exclusivamente)","mujer",17688,"2015",8203
