"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",7302,"2017",5602
"Algarrobo","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",99,"2017",5602
"Algarrobo","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",8347,"2017",5602
"Algarrobo","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",188,"2017",5602
"Alhué","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",109,"2017",13502
"Alhué","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",74,"2017",13502
"Alhué","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",2309,"2017",13502
"Alhué","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",2023,"2017",13502
"Alto Biobío","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",5058,"2017",8314
"Alto Biobío","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",4358,"2017",8314
"Alto del Carmen","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",2518,"2017",3302
"Alto del Carmen","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",1931,"2017",3302
"Alto Hospicio","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",650,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",6723,"2017",1107
"Alto Hospicio","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",56854,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",5288,"2017",1107
"Alto Hospicio","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",685,"2017",1107
"Alto Hospicio","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",56771,"2017",1107
"Ancud","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",132,"2017",10202
"Ancud","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",19191,"2017",10202
"Ancud","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",241,"2017",10202
"Ancud","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",21159,"2017",10202
"Ancud","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",336,"2017",10202
"Ancud","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",73,"2017",10202
"Andacollo","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",3907,"2017",4103
"Andacollo","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",3412,"2017",4103
"Angol","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",212,"2017",9201
"Angol","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",78,"2017",9201
"Angol","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",129,"2017",9201
"Angol","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",22685,"2017",9201
"Angol","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",26156,"2017",9201
"Angol","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",66,"2017",9201
"Antofagasta","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",3194,"2017",2101
"Antofagasta","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",10642,"2017",2101
"Antofagasta","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",8671,"2017",2101
"Antofagasta","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",186752,"2017",2101
"Antofagasta","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",176588,"2017",2101
"Antofagasta","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",1607,"2017",2101
"Antuco","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",1523,"2017",8302
"Antuco","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",22,"2017",8302
"Antuco","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",1804,"2017",8302
"Arauco","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",61,"2017",8202
"Arauco","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",24838,"2017",8202
"Arauco","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",20926,"2017",8202
"Arica","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",1362,"2017",15101
"Arica","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",71232,"2017",15101
"Arica","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",1247,"2017",15101
"Arica","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",4266,"2017",15101
"Arica","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",5417,"2017",15101
"Arica","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",74739,"2017",15101
"Aysén","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",13600,"2017",11201
"Aysén","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",13202,"2017",11201
"Aysén","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",161,"2017",11201
"Aysén","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",82,"2017",11201
"Aysén","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",234,"2017",11201
"Buin","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",38230,"2017",13402
"Buin","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",163,"2017",13402
"Buin","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",36299,"2017",13402
"Buin","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",138,"2017",13402
"Bulnes","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",11958,"2017",16102
"Bulnes","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",9381,"2017",16102
"Bulnes","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",64,"2017",16102
"Cabildo","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",10694,"2017",5402
"Cabildo","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",129,"2017",5402
"Cabildo","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",138,"2017",5402
"Cabildo","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",10472,"2017",5402
"Cabrero","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",16960,"2017",8303
"Cabrero","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",15795,"2017",8303
"Cabrero","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",95,"2017",8303
"Calama","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",5625,"2017",2201
"Calama","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",3256,"2017",2201
"Calama","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",65392,"2017",2201
"Calama","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",395,"2017",2201
"Calama","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",70692,"2017",2201
"Calama","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",252,"2017",2201
"Calbuco","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",19301,"2017",10102
"Calbuco","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",38,"2017",10102
"Calbuco","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",17540,"2017",10102
"Caldera","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",7316,"2017",3102
"Caldera","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",7399,"2017",3102
"Caldera","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",110,"2017",3102
"Caldera","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",110,"2017",3102
"Calera","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",112,"2017",5502
"Calera","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",1128,"2017",5502
"Calera","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Mujer",112,"2017",5502
"Calera","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",24989,"2017",5502
"Calera","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",288,"2017",5502
"Calera","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",29532,"2017",5502
"Calera de Tango","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",16790,"2017",13403
"Calera de Tango","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",91,"2017",13403
"Calera de Tango","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",14282,"2017",13403
"Calera de Tango","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",114,"2017",13403
"Calera de Tango","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Hombre",218,"2017",13403
"Calle Larga","Chilena y otra (Doble nacionalidad)","Chilena y otra (Doble nacionalidad)","Hombre",45,"2017",5302
"Calle Larga","Chilena (Exclusiva)","Chilena (Exclusiva)","Hombre",5092,"2017",5302
"Calle Larga","Chilena (Exclusiva)","Chilena (Exclusiva)","Mujer",5508,"2017",5302
"Calle Larga","Otra nacionalidad. Especifique país","Otra nacionalidad. Especifique país","Mujer",45,"2017",5302
