"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",49,"2013",5602
"algarrobo","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",19,"2013",5602
"algarrobo","chilena (exclusivamente)","chilena (exclusivamente)","mujer",7021,"2013",5602
"algarrobo","chilena (exclusivamente)","chilena (exclusivamente)","hombre",6758,"2013",5602
"algarrobo","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",115,"2013",5602
"alhué","chilena (exclusivamente)","chilena (exclusivamente)","mujer",2314,"2013",13502
"alhué","chilena (exclusivamente)","chilena (exclusivamente)","hombre",2223,"2013",13502
"alto biobío","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",113,"2013",8314
"alto biobío","chilena (exclusivamente)","chilena (exclusivamente)","mujer",5766,"2013",8314
"alto biobío","chilena (exclusivamente)","chilena (exclusivamente)","hombre",5754,"2013",8314
"alto biobío","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",14,"2013",8314
"alto del carmen","chilena (exclusivamente)","chilena (exclusivamente)","mujer",2449,"2013",3302
"alto del carmen","chilena (exclusivamente)","chilena (exclusivamente)","hombre",2073,"2013",3302
"alto hospicio","chilena (exclusivamente)","chilena (exclusivamente)","hombre",48486,"2013",1107
"alto hospicio","ns/nr","ns/nr","mujer",21,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",2164,"2013",1107
"alto hospicio","ns/nr","ns/nr","hombre",78,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",439,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",2974,"2013",1107
"alto hospicio","chilena (exclusivamente)","chilena (exclusivamente)","mujer",50720,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",557,"2013",1107
"ancud","chilena (exclusivamente)","chilena (exclusivamente)","mujer",21247,"2013",10202
"ancud","chilena (exclusivamente)","chilena (exclusivamente)","hombre",19920,"2013",10202
"ancud","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",48,"2013",10202
"andacollo","chilena (exclusivamente)","chilena (exclusivamente)","hombre",4214,"2013",4103
"andacollo","chilena (exclusivamente)","chilena (exclusivamente)","mujer",3788,"2013",4103
"angol","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",30,"2013",9201
"angol","ns/nr","ns/nr","mujer",263,"2013",9201
"angol","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",156,"2013",9201
"angol","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",93,"2013",9201
"angol","chilena (exclusivamente)","chilena (exclusivamente)","mujer",25695,"2013",9201
"angol","ns/nr","ns/nr","hombre",380,"2013",9201
"angol","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",101,"2013",9201
"angol","chilena (exclusivamente)","chilena (exclusivamente)","hombre",22793,"2013",9201
"antofagasta","chilena (exclusivamente)","chilena (exclusivamente)","mujer",182194,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",5896,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",2200,"2013",2101
"antofagasta","ns/nr","ns/nr","hombre",93,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",5682,"2013",2101
"antofagasta","chilena (exclusivamente)","chilena (exclusivamente)","hombre",167015,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",2588,"2013",2101
"antuco","chilena (exclusivamente)","chilena (exclusivamente)","mujer",1720,"2013",8302
"antuco","ns/nr","ns/nr","mujer",50,"2013",8302
"antuco","chilena (exclusivamente)","chilena (exclusivamente)","hombre",1692,"2013",8302
"arauco","chilena (exclusivamente)","chilena (exclusivamente)","hombre",19339,"2013",8202
"arauco","chilena (exclusivamente)","chilena (exclusivamente)","mujer",24076,"2013",8202
"arica","ns/nr","ns/nr","hombre",166,"2013",15101
"arica","ns/nr","ns/nr","mujer",174,"2013",15101
"arica","chilena (exclusivamente)","chilena (exclusivamente)","mujer",85085,"2013",15101
"arica","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",841,"2013",15101
"arica","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",572,"2013",15101
"arica","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",2953,"2013",15101
"arica","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",2110,"2013",15101
"arica","chilena (exclusivamente)","chilena (exclusivamente)","hombre",76166,"2013",15101
"aysén","chilena (exclusivamente)","chilena (exclusivamente)","mujer",13351,"2013",11201
"aysén","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",115,"2013",11201
"aysén","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",25,"2013",11201
"aysén","ns/nr","ns/nr","hombre",7,"2013",11201
"aysén","ns/nr","ns/nr","mujer",12,"2013",11201
"aysén","chilena (exclusivamente)","chilena (exclusivamente)","hombre",12408,"2013",11201
"aysén","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",28,"2013",11201
"aysén","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",171,"2013",11201
"buin","ns/nr","ns/nr","mujer",160,"2013",13402
"buin","chilena (exclusivamente)","chilena (exclusivamente)","hombre",33770,"2013",13402
"buin","chilena (exclusivamente)","chilena (exclusivamente)","mujer",40041,"2013",13402
"bulnes","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",71,"2013",16102
"bulnes","chilena (exclusivamente)","chilena (exclusivamente)","hombre",10728,"2013",16102
"bulnes","chilena (exclusivamente)","chilena (exclusivamente)","mujer",10497,"2013",16102
"cabildo","chilena (exclusivamente)","chilena (exclusivamente)","hombre",10546,"2013",5402
"cabildo","chilena (exclusivamente)","chilena (exclusivamente)","mujer",10531,"2013",5402
"cabildo","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",70,"2013",5402
"cabrero","chilena (exclusivamente)","chilena (exclusivamente)","mujer",17352,"2013",8303
"cabrero","chilena (exclusivamente)","chilena (exclusivamente)","hombre",13932,"2013",8303
"calama","chilena (exclusivamente)","chilena (exclusivamente)","mujer",67504,"2013",2201
"calama","ns/nr","ns/nr","mujer",214,"2013",2201
"calama","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",3499,"2013",2201
"calama","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",158,"2013",2201
"calama","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",4488,"2013",2201
"calama","chilena (exclusivamente)","chilena (exclusivamente)","hombre",68979,"2013",2201
"calama","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",410,"2013",2201
"calbuco","chilena (exclusivamente)","chilena (exclusivamente)","hombre",18355,"2013",10102
"calbuco","ns/nr","ns/nr","hombre",195,"2013",10102
"calbuco","chilena (exclusivamente)","chilena (exclusivamente)","mujer",17338,"2013",10102
"caldera","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",14,"2013",3102
"caldera","chilena (exclusivamente)","chilena (exclusivamente)","mujer",8368,"2013",3102
"caldera","chilena (exclusivamente)","chilena (exclusivamente)","hombre",6410,"2013",3102
"calera","chilena (exclusivamente)","chilena (exclusivamente)","mujer",30634,"2013",5502
"calera","chilena (exclusivamente)","chilena (exclusivamente)","hombre",24571,"2013",5502
"calera","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",83,"2013",5502
"calera","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",96,"2013",5502
"calera de tango","chilena (exclusivamente)","chilena (exclusivamente)","hombre",16100,"2013",13403
"calera de tango","chilena (exclusivamente)","chilena (exclusivamente)","mujer",12522,"2013",13403
"calle larga","chilena (exclusivamente)","chilena (exclusivamente)","mujer",5764,"2013",5302
"calle larga","chilena (exclusivamente)","chilena (exclusivamente)","hombre",4984,"2013",5302
"calle larga","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",47,"2013",5302
"camarones","chilena (exclusivamente)","chilena (exclusivamente)","mujer",636,"2013",15102
"camarones","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",65,"2013",15102
"camarones","chilena (exclusivamente)","chilena (exclusivamente)","hombre",683,"2013",15102
"camarones","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",42,"2013",15102
"camiña","chilena (exclusivamente)","chilena (exclusivamente)","hombre",432,"2013",1402
"camiña","chilena (exclusivamente)","chilena (exclusivamente)","mujer",408,"2013",1402
"camiña","ns/nr","ns/nr","mujer",7,"2013",1402
"camiña","ns/nr","ns/nr","hombre",3,"2013",1402
"camiña","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",29,"2013",1402
"camiña","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",24,"2013",1402
"canela","chilena (exclusivamente)","chilena (exclusivamente)","mujer",3753,"2013",4202
"canela","chilena (exclusivamente)","chilena (exclusivamente)","hombre",4019,"2013",4202
"cañete","chilena (exclusivamente)","chilena (exclusivamente)","mujer",17305,"2013",8203
"cañete","chilena (exclusivamente)","chilena (exclusivamente)","hombre",16525,"2013",8203
"carahue","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",45,"2013",9102
"carahue","chilena (exclusivamente)","chilena (exclusivamente)","hombre",11554,"2013",9102
"carahue","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",158,"2013",9102
"carahue","chilena (exclusivamente)","chilena (exclusivamente)","mujer",12411,"2013",9102
"cartagena","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",16,"2013",5603
"cartagena","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",178,"2013",5603
"cartagena","chilena (exclusivamente)","chilena (exclusivamente)","hombre",13108,"2013",5603
"cartagena","chilena (exclusivamente)","chilena (exclusivamente)","mujer",13496,"2013",5603
"casablanca","chilena (exclusivamente)","chilena (exclusivamente)","hombre",17252,"2013",5102
"casablanca","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","hombre",49,"2013",5102
"casablanca","chilena (exclusivamente)","chilena (exclusivamente)","mujer",13825,"2013",5102
"castro","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","hombre",100,"2013",10201
"castro","chilena y otra (doble nacionalidad)","chilena y otra (doble nacionalidad)","mujer",52,"2013",10201
"castro","chilena (exclusivamente)","chilena (exclusivamente)","mujer",28507,"2013",10201
"castro","otra nacionalidad (extranjeros)","otra nacionalidad (extranjeros)","mujer",370,"2013",10201
"castro","ns/nr","ns/nr","hombre",36,"2013",10201
"castro","chilena (exclusivamente)","chilena (exclusivamente)","hombre",24969,"2013",10201
"catemu","chilena (exclusivamente)","chilena (exclusivamente)","hombre",6476,"2013",5702
