"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","jornada prolongada","bolivia","mujer",78,"2015",1107
"alto hospicio","jornada completa","bolivia","mujer",502,"2015",1107
"alto hospicio","jornada prolongada","ecuador","mujer",33,"2015",1107
"alto hospicio","jornada prolongada","bolivia","hombre",66,"2015",1107
"alto hospicio","jornada parcial","bolivia","mujer",54,"2015",1107
"alto hospicio","jornada parcial","ecuador","hombre",114,"2015",1107
"alto hospicio","otra","perú","hombre",27,"2015",1107
"alto hospicio","jornada parcial","ecuador","mujer",76,"2015",1107
"alto hospicio","jornada completa","ecuador","mujer",27,"2015",1107
"alto hospicio","jornada prolongada","ecuador","hombre",33,"2015",1107
"alto hospicio","otra","bolivia","mujer",38,"2015",1107
"alto hospicio","jornada completa","perú","hombre",267,"2015",1107
"alto hospicio","jornada parcial","colombia","hombre",40,"2015",1107
"alto hospicio","jornada completa","colombia","mujer",91,"2015",1107
"alto hospicio","jornada parcial","perú","mujer",82,"2015",1107
"alto hospicio","jornada completa","colombia","hombre",150,"2015",1107
"alto hospicio","jornada completa","paraguay","hombre",48,"2015",1107
"alto hospicio","jornada completa","bolivia","hombre",383,"2015",1107
"alto hospicio","jornada parcial","bolivia","hombre",71,"2015",1107
"alto hospicio","jornada completa","perú","mujer",445,"2015",1107
"alto hospicio","jornada completa","argentina","hombre",22,"2015",1107
"ancud","jornada completa","colombia","mujer",53,"2015",10202
"ancud","jornada completa","colombia","hombre",53,"2015",10202
"angol","jornada completa","haití","hombre",22,"2015",9201
"antofagasta","jornada parcial","bolivia","mujer",155,"2015",2101
"antofagasta","jornada completa","bolivia","hombre",87,"2015",2101
"antofagasta","jornada completa","perú","hombre",823,"2015",2101
"antofagasta","jornada completa","argentina","mujer",143,"2015",2101
"antofagasta","jornada completa","colombia","mujer",1126,"2015",2101
"antofagasta","jornada completa","españa","hombre",222,"2015",2101
"antofagasta","jornada completa","cuba","mujer",107,"2015",2101
"antofagasta","jornada completa","ecuador","mujer",293,"2015",2101
"antofagasta","jornada completa","cuba","hombre",107,"2015",2101
"antofagasta","jornada completa","perú","mujer",1200,"2015",2101
"antofagasta","jornada completa","argentina","hombre",96,"2015",2101
"antofagasta","jornada parcial","colombia","mujer",128,"2015",2101
"antofagasta","jornada completa","colombia","hombre",820,"2015",2101
"antofagasta","otra","colombia","mujer",121,"2015",2101
"antofagasta","jornada completa","ecuador","hombre",293,"2015",2101
"antofagasta","jornada completa","bolivia","mujer",534,"2015",2101
"antofagasta","jornada parcial","perú","mujer",448,"2015",2101
"arica","jornada completa","perú","hombre",477,"2015",15101
"arica","jornada completa","colombia","mujer",63,"2015",15101
"arica","jornada completa","perú","mujer",253,"2015",15101
