"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","jornada completa","11101","hombre",81,"2009",5602
"algarrobo","jornada completa","5507","hombre",59,"2009",5602
"algarrobo","jornada completa","5102","hombre",12,"2009",5602
"algarrobo","jornada completa","8101","hombre",70,"2009",5602
"algarrobo","jornada completa","13503","hombre",11,"2009",5602
"algarrobo","jornada completa","9210","hombre",14,"2009",5602
"algarrobo","jornada completa","9115","hombre",11,"2009",5602
"algarrobo","jornada completa","99999","hombre",59,"2009",5602
"algarrobo","jornada parcial","13303","hombre",14,"2009",5602
"algarrobo","jornada completa","16030","mujer",12,"2009",5602
"algarrobo","jornada completa","5601","mujer",14,"2009",5602
"algarrobo","jornada completa","10107","mujer",59,"2009",5602
"algarrobo","jornada completa","16001","mujer",59,"2009",5602
"algarrobo","jornada completa","14106","mujer",14,"2009",5602
"algarrobo","jornada completa","16033","mujer",59,"2009",5602
"algarrobo","jornada completa","99999","mujer",10,"2009",5602
"algarrobo","jornada completa","4304","hombre",11,"2009",5602
"algarrobo","jornada completa","7101","mujer",11,"2009",5602
"algarrobo","jornada completa","","mujer",767,"2009",5602
"algarrobo","jornada parcial","5101","hombre",8,"2009",5602
"algarrobo","jornada parcial","14106","mujer",12,"2009",5602
"algarrobo","jornada completa","15101","mujer",10,"2009",5602
"algarrobo","jornada completa","13101","hombre",117,"2009",5602
"algarrobo","jornada completa","13127","hombre",14,"2009",5602
"algarrobo","jornada completa","5601","hombre",8,"2009",5602
"algarrobo","jornada completa","16023","mujer",20,"2009",5602
"algarrobo","jornada prolongada","13101","hombre",28,"2009",5602
"algarrobo","jornada prolongada","","hombre",44,"2009",5602
"algarrobo","jornada parcial","13126","mujer",28,"2009",5602
"algarrobo","jornada completa","5604","mujer",92,"2009",5602
"algarrobo","jornada completa","9101","hombre",11,"2009",5602
"algarrobo","jornada completa","5101","hombre",28,"2009",5602
"algarrobo","jornada parcial","13101","hombre",14,"2009",5602
"algarrobo","jornada completa","8205","mujer",81,"2009",5602
"algarrobo","jornada completa","5109","hombre",14,"2009",5602
"algarrobo","jornada completa","5501","mujer",11,"2009",5602
"algarrobo","jornada completa","16023","hombre",10,"2009",5602
"algarrobo","jornada parcial","13101","mujer",11,"2009",5602
"algarrobo","jornada completa","5605","mujer",14,"2009",5602
"algarrobo","jornada completa","6101","mujer",11,"2009",5602
"algarrobo","jornada parcial","13128","mujer",59,"2009",5602
"algarrobo","jornada completa","13605","mujer",59,"2009",5602
"algarrobo","jornada completa","8101","mujer",59,"2009",5602
"algarrobo","jornada completa","13101","mujer",84,"2009",5602
"algarrobo","jornada completa","","hombre",1295,"2009",5602
"algarrobo","jornada completa","5604","hombre",22,"2009",5602
"algarrobo","jornada parcial","5601","mujer",14,"2009",5602
"algarrobo","jornada completa","8111","hombre",14,"2009",5602
"algarrobo","jornada prolongada","","mujer",8,"2009",5602
"algarrobo","jornada parcial","14108","hombre",59,"2009",5602
"algarrobo","jornada parcial","","hombre",171,"2009",5602
"algarrobo","jornada completa","13110","hombre",70,"2009",5602
"algarrobo","jornada completa","7404","hombre",12,"2009",5602
"algarrobo","jornada parcial","","mujer",117,"2009",5602
"algarrobo","jornada parcial","9101","mujer",59,"2009",5602
"algarrobo","jornada completa","5505","mujer",118,"2009",5602
