"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","jornada completa","argentina","hombre",766,"2013",5602
"algarrobo","jornada completa","ecuador","mujer",32,"2013",5602
"alto biobío","jornada completa","bolivia","mujer",14,"2013",8314
"alto hospicio","jornada completa","alemania","hombre",20,"2013",1107
"alto hospicio","jornada parcial","bolivia","mujer",36,"2013",1107
"alto hospicio","jornada prolongada","pakistán","hombre",21,"2013",1107
"alto hospicio","jornada parcial","perú","hombre",19,"2013",1107
"alto hospicio","jornada completa","colombia","mujer",203,"2013",1107
"alto hospicio","jornada parcial","colombia","hombre",48,"2013",1107
"alto hospicio","jornada completa","perú","mujer",359,"2013",1107
"alto hospicio","jornada prolongada","ecuador","hombre",27,"2013",1107
"alto hospicio","jornada completa","perú","hombre",379,"2013",1107
"alto hospicio","jornada completa","argentina","hombre",48,"2013",1107
"alto hospicio","jornada prolongada","bolivia","hombre",23,"2013",1107
"alto hospicio","jornada completa","paraguay","mujer",34,"2013",1107
"alto hospicio","jornada completa","bolivia","mujer",394,"2013",1107
"alto hospicio","jornada completa","colombia","hombre",75,"2013",1107
"alto hospicio","jornada parcial","perú","mujer",46,"2013",1107
"alto hospicio","jornada completa","bolivia","hombre",88,"2013",1107
"angol","jornada completa","perú","mujer",33,"2013",9201
"angol","jornada prolongada","cuba","hombre",41,"2013",9201
"antofagasta","jornada prolongada","perú","hombre",161,"2013",2101
"antofagasta","jornada completa","uruguay","hombre",110,"2013",2101
"antofagasta","jornada completa","perú","mujer",1085,"2013",2101
"antofagasta","jornada completa","argentina","hombre",350,"2013",2101
"antofagasta","jornada prolongada","brasil","mujer",51,"2013",2101
"antofagasta","jornada prolongada","bolivia","mujer",50,"2013",2101
"antofagasta","jornada completa","colombia","mujer",1501,"2013",2101
"antofagasta","jornada completa","bolivia","hombre",176,"2013",2101
"antofagasta","jornada completa","colombia","hombre",1722,"2013",2101
"antofagasta","jornada parcial","bolivia","mujer",42,"2013",2101
"antofagasta","jornada prolongada","perú","mujer",86,"2013",2101
"antofagasta","jornada completa","perú","hombre",1205,"2013",2101
"antofagasta","jornada parcial","perú","hombre",135,"2013",2101
"antofagasta","jornada completa","bolivia","mujer",512,"2013",2101
"antofagasta","jornada prolongada","argentina","hombre",124,"2013",2101
"antofagasta","jornada parcial","ecuador","hombre",589,"2013",2101
"antofagasta","jornada completa","brasil","mujer",54,"2013",2101
"antofagasta","jornada completa","cuba","hombre",170,"2013",2101
"antofagasta","jornada parcial","perú","mujer",369,"2013",2101
"antofagasta","jornada prolongada","colombia","mujer",61,"2013",2101
"arica","jornada completa","perú","hombre",434,"2013",15101
"arica","jornada completa","argentina","mujer",13,"2013",15101
"arica","jornada completa","argentina","hombre",23,"2013",15101
"arica","otra","perú","hombre",13,"2013",15101
"arica","jornada completa","república dominicana","mujer",11,"2013",15101
"arica","jornada parcial","argentina","mujer",20,"2013",15101
"arica","jornada prolongada","colombia","hombre",14,"2013",15101
"arica","jornada parcial","no contesta","hombre",16,"2013",15101
"arica","jornada prolongada","bolivia","mujer",23,"2013",15101
"arica","jornada completa","bolivia","mujer",228,"2013",15101
"arica","jornada completa","méxico","hombre",41,"2013",15101
"arica","jornada parcial","bolivia","hombre",25,"2013",15101
"arica","jornada completa","colombia","hombre",62,"2013",15101
"arica","jornada completa","paraguay","mujer",29,"2013",15101
"arica","jornada completa","perú","mujer",288,"2013",15101
"arica","jornada prolongada","bolivia","hombre",68,"2013",15101
"arica","jornada completa","brasil","hombre",19,"2013",15101
"arica","jornada completa","bolivia","hombre",297,"2013",15101
"arica","jornada prolongada","perú","hombre",61,"2013",15101
"arica","jornada parcial","perú","mujer",52,"2013",15101
"arica","jornada parcial","perú","hombre",11,"2013",15101
"arica","jornada completa","colombia","mujer",15,"2013",15101
"arica","otra","bolivia","hombre",13,"2013",15101
"aysén","jornada parcial","panamá","hombre",24,"2013",11201
"aysén","jornada completa","rumanía","mujer",31,"2013",11201
"bulnes","jornada completa","argentina","mujer",71,"2013",16102
"calama","jornada completa","argentina","mujer",71,"2013",2201
"calama","jornada completa","perú","hombre",167,"2013",2201
"calama","otra","argentina","mujer",112,"2013",2201
"calama","jornada prolongada","perú","hombre",50,"2013",2201
"calama","jornada completa","colombia","mujer",320,"2013",2201
"calama","jornada parcial","colombia","mujer",58,"2013",2201
"calama","jornada completa","argentina","hombre",123,"2013",2201
"calama","jornada completa","perú","mujer",130,"2013",2201
"calama","jornada completa","ecuador","mujer",36,"2013",2201
"calama","jornada parcial","bolivia","mujer",119,"2013",2201
"calama","jornada parcial","perú","hombre",50,"2013",2201
"calama","jornada completa","bolivia","hombre",1379,"2013",2201
"calama","jornada completa","bolivia","mujer",916,"2013",2201
"calama","jornada completa","colombia","hombre",154,"2013",2201
"caldera","jornada completa","bolivia","mujer",14,"2013",3102
"calle larga","jornada completa","argentina","mujer",94,"2013",5302
"camarones","jornada completa","bolivia","hombre",14,"2013",15102
"camarones","jornada completa","perú","mujer",65,"2013",15102
"camiña","jornada completa","bolivia","mujer",9,"2013",1402
"camiña","jornada completa","bolivia","hombre",24,"2013",1402
"casablanca","jornada completa","nicaragua","hombre",42,"2013",5102
"castro","jornada completa","argentina","hombre",211,"2013",10201
"cerrillos","jornada completa","perú","hombre",132,"2013",13102
"cerrillos","jornada completa","uruguay","hombre",73,"2013",13102
"cerrillos","jornada parcial","perú","mujer",132,"2013",13102
"cerro navia","jornada completa","argentina","hombre",243,"2013",13103
"cerro navia","jornada completa","colombia","hombre",76,"2013",13103
"cerro navia","jornada completa","argentina","mujer",243,"2013",13103
"cerro navia","jornada parcial","argentina","hombre",145,"2013",13103
"cerro navia","jornada prolongada","colombia","mujer",146,"2013",13103
"cerro navia","jornada completa","perú","mujer",195,"2013",13103
"cerro navia","jornada completa","colombia","mujer",76,"2013",13103
"cerro navia","jornada prolongada","colombia","hombre",146,"2013",13103
"cerro navia","jornada completa","perú","hombre",390,"2013",13103
"chañaral","jornada completa","perú","mujer",58,"2013",3201
"chépica","jornada completa","perú","mujer",50,"2013",6302
"chiguayante","jornada completa","argentina","hombre",101,"2013",8103
"chile chico","jornada prolongada","no contesta","hombre",16,"2013",11401
"chile chico","jornada completa","colombia","hombre",16,"2013",11401
"chile chico","jornada completa","colombia","mujer",31,"2013",11401
"chillán","jornada completa","argentina","hombre",42,"2013",16101
"chillán","jornada completa","argentina","mujer",153,"2013",16101
"chillán","jornada completa","colombia","hombre",56,"2013",16101
"chillán","jornada completa","perú","hombre",77,"2013",16101
"chillán","jornada completa","brasil","mujer",40,"2013",16101
"chillán viejo","jornada completa","colombia","mujer",33,"2013",16103
"chonchi","jornada completa","argentina","hombre",28,"2013",10203
"cisnes","jornada completa","argentina","mujer",53,"2013",11202
"coihueco","otra","suiza","mujer",45,"2013",16302
"colina","jornada completa","perú","hombre",352,"2013",13301
"colina","jornada parcial","argentina","mujer",285,"2013",13301
"colina","jornada completa","perú","mujer",266,"2013",13301
"concepción","jornada completa","venezuela","hombre",60,"2013",8101
"concepción","jornada completa","perú","mujer",192,"2013",8101
"concepción","jornada completa","argentina","hombre",243,"2013",8101
"concepción","otra","argentina","hombre",54,"2013",8101
"concepción","jornada completa","colombia","mujer",70,"2013",8101
"concepción","jornada completa","colombia","hombre",101,"2013",8101
"concepción","jornada completa","cuba","hombre",60,"2013",8101
"concepción","jornada completa","perú","hombre",120,"2013",8101
"conchalí","jornada completa","bolivia","mujer",292,"2013",13104
"conchalí","jornada completa","argentina","mujer",194,"2013",13104
"conchalí","jornada completa","venezuela","mujer",130,"2013",13104
"conchalí","jornada completa","venezuela","hombre",260,"2013",13104
"conchalí","jornada completa","república dominicana","mujer",136,"2013",13104
"conchalí","jornada completa","perú","hombre",822,"2013",13104
"conchalí","jornada completa","colombia","mujer",130,"2013",13104
"conchalí","jornada completa","bolivia","hombre",146,"2013",13104
"conchalí","jornada completa","perú","mujer",490,"2013",13104
"conchalí","jornada completa","argentina","hombre",67,"2013",13104
"concón","jornada completa","reino unido","hombre",86,"2013",5103
"concón","jornada completa","ecuador","mujer",124,"2013",5103
"copiapó","jornada completa","ecuador","hombre",105,"2013",3101
"copiapó","jornada completa","perú","hombre",122,"2013",3101
"copiapó","jornada completa","españa","hombre",105,"2013",3101
"copiapó","jornada completa","bolivia","hombre",65,"2013",3101
"copiapó","jornada completa","argentina","mujer",39,"2013",3101
"copiapó","jornada completa","colombia","hombre",519,"2013",3101
"copiapó","jornada completa","argentina","hombre",132,"2013",3101
"copiapó","jornada completa","bolivia","mujer",111,"2013",3101
"copiapó","jornada completa","colombia","mujer",313,"2013",3101
"copiapó","jornada completa","perú","mujer",81,"2013",3101
"copiapó","jornada completa","rumanía","hombre",44,"2013",3101
"copiapó","jornada parcial","bolivia","mujer",30,"2013",3101
"coquimbo","jornada completa","brasil","mujer",119,"2013",4102
"coquimbo","jornada completa","uruguay","hombre",65,"2013",4102
"coquimbo","jornada completa","colombia","mujer",166,"2013",4102
"coquimbo","jornada completa","perú","mujer",57,"2013",4102
"coquimbo","jornada prolongada","colombia","mujer",41,"2013",4102
"coquimbo","jornada completa","colombia","hombre",41,"2013",4102
"coronel","jornada prolongada","brasil","hombre",41,"2013",8102
"coyhaique","jornada completa","argentina","mujer",63,"2013",11101
"coyhaique","jornada completa","venezuela","mujer",20,"2013",11101
"coyhaique","jornada completa","argentina","hombre",30,"2013",11101
"coyhaique","jornada completa","ecuador","mujer",13,"2013",11101
"coyhaique","jornada prolongada","argentina","hombre",10,"2013",11101
"coyhaique","jornada completa","colombia","mujer",21,"2013",11101
"coyhaique","jornada parcial","argentina","mujer",25,"2013",11101
"coyhaique","jornada parcial","bolivia","hombre",14,"2013",11101
"coyhaique","jornada completa","estados unidos","mujer",19,"2013",11101
"cunco","jornada completa","argentina","hombre",57,"2013",9103
"curacautín","jornada completa","argentina","hombre",40,"2013",9203
"curacaví","jornada completa","argentina","mujer",197,"2013",13503
"curaco de vélez","jornada completa","argentina","hombre",33,"2013",10204
"curanilahue","jornada completa","ecuador","hombre",25,"2013",8205
"curicó","jornada completa","españa","hombre",34,"2013",7301
"curicó","jornada parcial","paraguay","mujer",16,"2013",7301
"curicó","jornada completa","ucrania","mujer",25,"2013",7301
"curicó","jornada completa","argentina","mujer",50,"2013",7301
"curicó","jornada completa","perú","hombre",166,"2013",7301
"dalcahue","jornada completa","brasil","hombre",32,"2013",10205
"dalcahue","jornada completa","perú","mujer",40,"2013",10205
"el bosque","jornada parcial","perú","mujer",178,"2013",13105
"el bosque","jornada completa","colombia","hombre",140,"2013",13105
"el bosque","jornada completa","ecuador","hombre",89,"2013",13105
"el monte","jornada completa","perú","hombre",440,"2013",13602
"el monte","jornada completa","ecuador","hombre",440,"2013",13602
"el monte","jornada completa","perú","mujer",88,"2013",13602
"el quisco","jornada parcial","francia","hombre",212,"2013",5604
"el quisco","jornada completa","venezuela","mujer",91,"2013",5604
"estación central","jornada completa","colombia","hombre",113,"2013",13106
"estación central","jornada completa","perú","hombre",334,"2013",13106
"estación central","jornada parcial","perú","mujer",73,"2013",13106
"estación central","jornada completa","argentina","mujer",304,"2013",13106
"estación central","jornada completa","colombia","mujer",76,"2013",13106
"estación central","jornada prolongada","perú","mujer",229,"2013",13106
"estación central","jornada completa","bolivia","hombre",222,"2013",13106
"estación central","jornada completa","argentina","hombre",68,"2013",13106
"estación central","jornada completa","perú","mujer",587,"2013",13106
"freire","jornada completa","argentina","mujer",56,"2013",9105
"freire","jornada completa","argentina","hombre",47,"2013",9105
"gorbea","otra","holanda","hombre",45,"2013",9107
"graneros","jornada completa","perú","mujer",88,"2013",6106
"graneros","jornada completa","argentina","hombre",114,"2013",6106
"graneros","jornada completa","argentina","mujer",88,"2013",6106
"graneros","jornada completa","perú","hombre",88,"2013",6106
"graneros","jornada completa","españa","hombre",32,"2013",6106
"hijuelas","jornada completa","bolivia","hombre",354,"2013",5503
"hualpén","jornada completa","francia","mujer",54,"2013",8112
"huara","jornada completa","bolivia","hombre",16,"2013",1404
"huechuraba","jornada completa","colombia","mujer",91,"2013",13107
"huechuraba","jornada completa","argentina","hombre",67,"2013",13107
"huechuraba","jornada completa","perú","mujer",284,"2013",13107
"illapel","jornada completa","colombia","mujer",156,"2013",4201
"independencia","jornada parcial","perú","mujer",15,"2013",13108
"independencia","jornada completa","ecuador","hombre",44,"2013",13108
"independencia","jornada completa","ecuador","mujer",93,"2013",13108
"independencia","jornada completa","perú","hombre",2962,"2013",13108
"independencia","jornada parcial","perú","hombre",185,"2013",13108
"independencia","jornada completa","perú","mujer",1831,"2013",13108
"iquique","jornada completa","pakistán","hombre",137,"2013",1101
"iquique","jornada completa","bolivia","hombre",651,"2013",1101
"iquique","jornada prolongada","bolivia","mujer",105,"2013",1101
"iquique","jornada completa","venezuela","mujer",98,"2013",1101
"iquique","jornada prolongada","bolivia","hombre",54,"2013",1101
"iquique","jornada completa","india","hombre",62,"2013",1101
"iquique","jornada completa","perú","hombre",613,"2013",1101
"iquique","jornada completa","ecuador","mujer",120,"2013",1101
"iquique","jornada completa","españa","hombre",19,"2013",1101
"iquique","jornada completa","paraguay","hombre",72,"2013",1101
"iquique","jornada completa","argentina","mujer",98,"2013",1101
"iquique","ns/nr","bolivia","hombre",23,"2013",1101
"iquique","jornada prolongada","perú","hombre",74,"2013",1101
"iquique","jornada parcial","ecuador","mujer",31,"2013",1101
"iquique","jornada completa","perú","mujer",692,"2013",1101
"iquique","jornada completa","bolivia","mujer",976,"2013",1101
"iquique","jornada completa","ecuador","hombre",15,"2013",1101
"iquique","jornada parcial","bolivia","mujer",172,"2013",1101
"iquique","jornada completa","estados unidos","mujer",38,"2013",1101
"iquique","jornada completa","filipinas","mujer",15,"2013",1101
"iquique","jornada completa","colombia","mujer",97,"2013",1101
"iquique","jornada completa","rusia","hombre",13,"2013",1101
"iquique","jornada completa","españa","mujer",42,"2013",1101
"iquique","jornada completa","colombia","hombre",112,"2013",1101
"iquique","jornada parcial","perú","hombre",87,"2013",1101
"iquique","jornada completa","el salvador","mujer",17,"2013",1101
"iquique","jornada prolongada","españa","hombre",54,"2013",1101
"iquique","jornada parcial","perú","mujer",117,"2013",1101
"iquique","jornada prolongada","perú","mujer",49,"2013",1101
"la cisterna","jornada completa","perú","hombre",166,"2013",13109
