"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","Jornada completa?","Colombia","Mujer",188,"2017",5602
"Alhué","Jornada completa?","Colombia","Mujer",17,"2017",13502
"Alhué","Jornada completa?","Colombia","Hombre",17,"2017",13502
"Alhué","Jornada completa?","Haití","Mujer",25,"2017",13502
"Alto Hospicio","Otra?","Perú","Hombre",65,"2017",1107
"Alto Hospicio","Jornada parcial?","Bolivia","Mujer",33,"2017",1107
"Alto Hospicio","Jornada completa?","El Salvador","Hombre",29,"2017",1107
"Alto Hospicio","Jornada completa?","Holanda","Mujer",36,"2017",1107
"Alto Hospicio","Jornada parcial?","Perú","Mujer",52,"2017",1107
"Alto Hospicio","Jornada completa?","Bolivia","Hombre",1039,"2017",1107
"Alto Hospicio","Jornada completa?","Colombia","Mujer",26,"2017",1107
"Alto Hospicio","Jornada completa?","Perú","Mujer",719,"2017",1107
"Alto Hospicio","Jornada completa?","Perú","Hombre",953,"2017",1107
"Alto Hospicio","Jornada completa?","Colombia","Hombre",211,"2017",1107
"Alto Hospicio","Jornada parcial?","Cuba","Hombre",53,"2017",1107
"Alto Hospicio","Otra?","Bolivia","Hombre",52,"2017",1107
"Alto Hospicio","Jornada completa?","Argentina","Hombre",25,"2017",1107
"Alto Hospicio","Jornada completa?","Venezuela","Hombre",111,"2017",1107
"Alto Hospicio","Jornada completa?","Ecuador","Mujer",79,"2017",1107
"Alto Hospicio","Jornada completa?","Bolivia","Mujer",1001,"2017",1107
"Alto Hospicio","Jornada completa?","Cuba","Hombre",159,"2017",1107
"Alto Hospicio","Jornada prolongada?","Paraguay","Mujer",31,"2017",1107
"Ancud","Jornada completa?","Ecuador","Mujer",168,"2017",10202
"Ancud","Jornada completa?","Ecuador","Hombre",84,"2017",10202
"Antofagasta","Otra?","Bolivia","Mujer",50,"2017",2101
"Antofagasta","Jornada completa?","Colombia","Mujer",1916,"2017",2101
"Antofagasta","Jornada completa?","Perú","Mujer",780,"2017",2101
"Antofagasta","Jornada completa?","Venezuela","Hombre",447,"2017",2101
"Antofagasta","Jornada completa?","Perú","Hombre",815,"2017",2101
"Antofagasta","No sabe/no responde","Colombia","Hombre",68,"2017",2101
"Antofagasta","Jornada completa?","Argentina","Mujer",176,"2017",2101
"Antofagasta","Jornada completa?","Venezuela","Mujer",425,"2017",2101
"Antofagasta","Jornada completa?","Paraguay","Hombre",142,"2017",2101
"Antofagasta","Jornada prolongada?","Perú","Mujer",134,"2017",2101
"Antofagasta","Jornada completa?","Bolivia","Hombre",733,"2017",2101
"Antofagasta","Jornada parcial?","Bolivia","Mujer",59,"2017",2101
"Antofagasta","Jornada completa?","Colombia","Hombre",2148,"2017",2101
"Antofagasta","Jornada completa?","México","Mujer",73,"2017",2101
"Antofagasta","Jornada parcial?","Perú","Mujer",69,"2017",2101
"Antofagasta","Jornada parcial?","Colombia","Hombre",43,"2017",2101
"Antofagasta","Jornada prolongada?","Colombia","Mujer",77,"2017",2101
"Antofagasta","Jornada completa?","Argentina","Hombre",170,"2017",2101
"Antofagasta","Jornada prolongada?","Colombia","Hombre",50,"2017",2101
"Antofagasta","Otra?","Colombia","Hombre",65,"2017",2101
"Antofagasta","Jornada prolongada?","Bolivia","Mujer",168,"2017",2101
"Antofagasta","Jornada parcial?","Colombia","Mujer",126,"2017",2101
"Antofagasta","Jornada completa?","Bolivia","Mujer",611,"2017",2101
"Antofagasta","Jornada completa?","Uruguay","Hombre",78,"2017",2101
"Antofagasta","Jornada completa?","Ecuador","Mujer",75,"2017",2101
"Arica","Jornada completa?","Cuba","Hombre",16,"2017",15101
"Arica","Jornada completa?","Colombia","Hombre",96,"2017",15101
"Arica","Jornada parcial?","Perú","Hombre",24,"2017",15101
"Arica","Jornada completa?","Perú","Hombre",382,"2017",15101
"Arica","Jornada completa?","Argentina","Hombre",24,"2017",15101
"Arica","Jornada parcial?","Ecuador","Mujer",23,"2017",15101
"Arica","Otra?","Bolivia","Mujer",13,"2017",15101
"Arica","Jornada completa?","Perú","Mujer",334,"2017",15101
"Arica","Jornada completa?","Venezuela","Hombre",42,"2017",15101
"Arica","Jornada completa?","Bolivia","Hombre",356,"2017",15101
"Arica","Jornada completa?","Uruguay","Hombre",10,"2017",15101
"Arica","Otra?","Perú","Mujer",84,"2017",15101
"Arica","Jornada parcial?","Venezuela","Mujer",27,"2017",15101
"Arica","Jornada parcial?","Bolivia","Mujer",75,"2017",15101
"Arica","Jornada completa?","Venezuela","Mujer",42,"2017",15101
"Arica","Jornada completa?","Ecuador","Hombre",36,"2017",15101
"Arica","Jornada parcial?","Perú","Mujer",76,"2017",15101
"Arica","Jornada parcial?","Bolivia","Hombre",58,"2017",15101
"Arica","Jornada parcial?","Colombia","Hombre",17,"2017",15101
"Arica","Jornada completa?","Bolivia","Mujer",452,"2017",15101
"Arica","Jornada prolongada?","Bolivia","Hombre",114,"2017",15101
"Arica","Jornada parcial?","Colombia","Mujer",33,"2017",15101
"Arica","Jornada prolongada?","Perú","Mujer",11,"2017",15101
"Arica","Jornada completa?","Colombia","Mujer",42,"2017",15101
"Aysén","Jornada completa?","Colombia","Hombre",18,"2017",11201
"Aysén","Jornada completa?","España","Hombre",17,"2017",11201
"Aysén","Jornada completa?","Rumanía","Mujer",14,"2017",11201
"Aysén","Jornada parcial?","República Dominicana","Mujer",37,"2017",11201
"Cabrero","Jornada completa?","Haití","Hombre",95,"2017",8303
"Calama","Otra?","Perú","Hombre",187,"2017",2201
"Calama","Jornada completa?","Perú","Mujer",71,"2017",2201
"Calama","Jornada completa?","Paraguay","Mujer",177,"2017",2201
"Calama","Jornada completa?","Colombia","Mujer",118,"2017",2201
