"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"aisén ","una jornada completa","9999","hombre",37,"2006",11201
"alto del carmen ","una jornada completa","1990","hombre",7,"2006",3302
"alto hospicio ","una jornada completa","1992","mujer",103,"2006",1107
"alto hospicio ","una jornada completa","1995","hombre",115,"2006",1107
"alto hospicio ","una jornada completa","2000","mujer",141,"2006",1107
"alto hospicio ","una jornada completa","1992","hombre",36,"2006",1107
"alto hospicio ","una jornada completa","2001","hombre",73,"2006",1107
"alto hospicio ","una jornada completa","1997","hombre",68,"2006",1107
"alto hospicio ","jornada parcial","1997","mujer",61,"2006",1107
"alto hospicio ","una jornada completa","2005","mujer",61,"2006",1107
"alto hospicio ","una jornada completa","1993","mujer",42,"2006",1107
"alto hospicio ","jornada parcial","1996","hombre",61,"2006",1107
"ancud ","jornada parcial","1980","hombre",46,"2006",10202
"ancud ","jornada parcial","1999","mujer",67,"2006",10202
"andacollo ","una jornada completa","2006","hombre",12,"2006",4103
"andacollo ","jornada parcial","2006","mujer",12,"2006",4103
"angol ","una jornada completa","1987","mujer",54,"2006",9201
"angol ","una jornada completa","1980","mujer",62,"2006",9201
"antofagasta ","una jornada completa","2001","mujer",289,"2006",2101
"antofagasta ","una jornada completa","1982","hombre",259,"2006",2101
"antofagasta ","una jornada completa","1953","hombre",362,"2006",2101
"arica ","jornada parcial","1995","mujer",25,"2006",15101
"arica ","una jornada completa","1978","hombre",25,"2006",15101
"arica ","una jornada completa","1975","hombre",32,"2006",15101
"arica ","una jornada completa","1973","mujer",231,"2006",15101
"arica ","una jornada completa","9999","mujer",250,"2006",15101
"arica ","una jornada completa","1960","hombre",21,"2006",15101
"arica ","una jornada completa","1966","hombre",25,"2006",15101
"arica ","una jornada completa","2001","hombre",17,"2006",15101
"arica ","jornada parcial","9999","mujer",215,"2006",15101
"arica ","una jornada completa","2000","mujer",25,"2006",15101
"arica ","una jornada completa","1962","hombre",25,"2006",15101
"arica ","una jornada completa","1982","hombre",25,"2006",15101
"arica ","una jornada completa","1968","mujer",235,"2006",15101
"arica ","jornada parcial","1995","hombre",25,"2006",15101
"cabo de hornos ","una jornada completa","9999","hombre",3,"2006",12201
"calama ","una jornada completa","2003","hombre",246,"2006",2201
"calama ","una jornada completa","1997","mujer",395,"2006",2201
"calama ","una jornada completa","9999","mujer",245,"2006",2201
"calama ","una jornada completa","2005","mujer",246,"2006",2201
"calama ","jornada parcial","1977","hombre",2,"2006",2201
"calama ","una jornada completa","2001","mujer",4,"2006",2201
"calama ","una jornada completa","1993","mujer",2,"2006",2201
"calama ","una jornada completa","2005","hombre",246,"2006",2201
"calama ","una jornada completa","1980","hombre",301,"2006",2201
"calama ","una jornada completa","9999","hombre",243,"2006",2201
"calama ","una jornada completa","1957","mujer",243,"2006",2201
"caldera ","jornada parcial","1953","mujer",14,"2006",3102
"caldera ","una jornada completa","2004","hombre",22,"2006",3102
"caldera ","una jornada completa","1962","mujer",19,"2006",3102
"calera de tango ","una jornada completa","2004","hombre",30,"2006",13403
"calle larga ","jornada parcial","2005","mujer",9,"2006",5302
"calle larga ","jornada parcial","2005","hombre",9,"2006",5302
"calle larga ","una jornada completa","1997","hombre",14,"2006",5302
"calle larga ","jornada parcial","2004","mujer",9,"2006",5302
"camarones ","una jornada completa","2004","mujer",6,"2006",15102
"camarones ","una jornada completa","2002","hombre",3,"2006",15102
"camarones ","una jornada completa","2005","mujer",2,"2006",15102
"camarones ","una jornada completa","1999","mujer",3,"2006",15102
"camarones ","una jornada completa","2006","hombre",2,"2006",15102
"camiña ","una jornada completa","2005","hombre",2,"2006",1402
"camiña ","una jornada completa","1957","hombre",2,"2006",1402
"camiña ","una jornada completa","1994","mujer",1,"2006",1402
"castro ","una jornada completa","1966","hombre",55,"2006",10201
"cerrillos ","una jornada completa","9999","mujer",130,"2006",13102
"cerrillos ","una jornada completa","9999","hombre",65,"2006",13102
"cerro navia ","jornada parcial","1988","mujer",129,"2006",13103
"cerro navia ","una jornada completa","1981","mujer",120,"2006",13103
"cerro navia ","una jornada completa","1996","hombre",114,"2006",13103
"chaitén ","una jornada completa","1991","hombre",16,"2006",10401
"chañaral ","una jornada completa","1986","hombre",2,"2006",3201
"chile chico ","una jornada completa","9999","hombre",9,"2006",11401
"chile chico ","una jornada completa","1981","mujer",5,"2006",11401
"chile chico ","una jornada completa","1988","mujer",24,"2006",11401
"chillán viejo ","jornada parcial","1983","mujer",37,"2006",16103
"chimbarongo ","una jornada completa","2001","hombre",58,"2006",6303
"cholchol ","una jornada completa","9999","mujer",14,"2006",9121
"chonchi ","jornada parcial","1997","hombre",12,"2006",10203
"chonchi ","una jornada completa","1971","hombre",11,"2006",10203
"chonchi ","una jornada completa","1988","hombre",13,"2006",10203
"cisnes ","una jornada completa","2003","hombre",4,"2006",11202
"cisnes ","una jornada completa","1995","hombre",5,"2006",11202
"cochrane ","una jornada completa","1980","hombre",5,"2006",11301
"cochrane ","una jornada completa","1996","hombre",5,"2006",11301
"cochrane ","jornada parcial","1979","hombre",5,"2006",11301
"codegua ","una jornada completa","9999","hombre",8,"2006",6102
"colchane ","una jornada completa","2005","hombre",2,"2006",1403
"colchane ","una jornada completa","2006","mujer",3,"2006",1403
"colchane ","jornada parcial","2005","hombre",2,"2006",1403
"colchane ","una jornada completa","2002","hombre",2,"2006",1403
"colchane ","una jornada completa","1990","mujer",3,"2006",1403
"colchane ","una jornada completa","2004","hombre",2,"2006",1403
"colchane ","jornada parcial","1994","mujer",3,"2006",1403
"colchane ","una jornada completa","2005","mujer",5,"2006",1403
"colina ","una jornada completa","1990","hombre",238,"2006",13301
"collipulli ","una jornada completa","9999","hombre",55,"2006",9202
"conchalí ","jornada parcial","9999","hombre",110,"2006",13104
"conchalí ","jornada parcial","9999","mujer",110,"2006",13104
"concón ","una jornada completa","2000","hombre",76,"2006",5103
"concón ","una jornada completa","2004","hombre",65,"2006",5103
"concón ","una jornada completa","2001","hombre",70,"2006",5103
"concón ","una jornada completa","1963","hombre",87,"2006",5103
"concón ","una jornada completa","2004","mujer",65,"2006",5103
"concón ","jornada parcial","2001","mujer",70,"2006",5103
"contulmo ","una jornada completa","9999","hombre",6,"2006",8204
"copiapó ","una jornada completa","2003","hombre",326,"2006",3101
"copiapó ","una jornada completa","1999","hombre",18,"2006",3101
"coquimbo ","una jornada completa","1985","mujer",180,"2006",4102
"coronel ","jornada parcial","2001","hombre",100,"2006",8102
"coyhaique ","una jornada completa","1999","mujer",61,"2006",10509
"cunco ","una jornada completa","9999","mujer",19,"2006",9103
"curacautín ","jornada parcial","1967","mujer",16,"2006",9203
"curacaví ","una jornada completa","1984","mujer",17,"2006",13503
"curaco de vélez ","una jornada completa","1990","mujer",3,"2006",10204
"curicó ","una jornada completa","9999","hombre",459,"2006",7301
"curicó ","una jornada completa","2004","hombre",82,"2006",7301
"curicó ","una jornada completa","2003","hombre",84,"2006",7301
"dalcahue ","una jornada completa","1966","mujer",19,"2006",10205
"el bosque ","una jornada completa","1987","mujer",152,"2006",13105
"el monte ","una jornada completa","1978","hombre",19,"2006",13602
"el monte ","una jornada completa","2004","mujer",19,"2006",13602
"estación central ","una jornada completa","2002","hombre",198,"2006",13106
"estación central ","una jornada completa","2001","mujer",99,"2006",13106
"estación central ","jornada parcial","1996","mujer",114,"2006",13106
"estación central ","una jornada completa","2005","mujer",114,"2006",13106
"estación central ","una jornada completa","2004","hombre",114,"2006",13106
"estación central ","una jornada completa","1998","hombre",99,"2006",13106
"estación central ","una jornada completa","9999","mujer",107,"2006",13106
"estación central ","una jornada completa","2002","mujer",99,"2006",13106
"estación central ","una jornada completa","1999","mujer",213,"2006",13106
"estación central ","una jornada completa","1998","mujer",99,"2006",13106
"estación central ","una jornada completa","2005","hombre",180,"2006",13106
"estación central ","una jornada completa","2006","hombre",294,"2006",13106
"estación central ","una jornada completa","2006","mujer",376,"2006",13106
"florida ","una jornada completa","1997","hombre",14,"2006",8104
"freire ","una jornada completa","1990","hombre",31,"2006",9105
"futaleufú ","una jornada completa","1951","hombre",2,"2006",10402
"futaleufú ","una jornada completa","2003","mujer",2,"2006",10402
"futaleufú ","una jornada completa","1998","hombre",2,"2006",10402
"futaleufú ","una jornada completa","1985","mujer",2,"2006",10402
"general lagos ","una jornada completa","2005","mujer",3,"2006",15202
"general lagos ","una jornada completa","2005","hombre",3,"2006",15202
"general lagos ","una jornada completa","1992","mujer",3,"2006",15202
"gorbea ","una jornada completa","1981","hombre",27,"2006",9107
"gorbea ","una jornada completa","1994","hombre",21,"2006",9107
"hualaihué ","una jornada completa","1984","hombre",18,"2006",10403
"huara ","una jornada completa","2002","hombre",2,"2006",1404
"huara ","jornada parcial","1990","hombre",3,"2006",1404
"huara ","una jornada completa","1994","hombre",3,"2006",1404
"huara ","una jornada completa","2004","mujer",2,"2006",1404
"huara ","una jornada completa","2003","mujer",4,"2006",1404
"huechuraba ","una jornada completa","1990","hombre",70,"2006",13107
"huechuraba ","una jornada completa","1993","hombre",70,"2006",13107
"huechuraba ","una jornada completa","1996","hombre",76,"2006",13107
"huechuraba ","una jornada completa","2005","mujer",222,"2006",13107
"independencia ","una jornada completa","1993","mujer",52,"2006",13108
"independencia ","una jornada completa","1997","hombre",163,"2006",13108
"independencia ","jornada parcial","1989","mujer",59,"2006",13108
"independencia ","una jornada completa","1999","mujer",61,"2006",13108
"independencia ","jornada parcial","1996","mujer",65,"2006",13108
"independencia ","una jornada completa","2005","hombre",183,"2006",13108
"independencia ","una jornada completa","1999","hombre",61,"2006",13108
"independencia ","una jornada completa","1988","mujer",61,"2006",13108
"independencia ","una jornada completa","1989","mujer",59,"2006",13108
"independencia ","una jornada completa","1998","mujer",237,"2006",13108
"independencia ","una jornada completa","2006","hombre",106,"2006",13108
"independencia ","una jornada completa","1997","mujer",109,"2006",13108
"independencia ","jornada parcial","1997","hombre",59,"2006",13108
"independencia ","una jornada completa","1994","hombre",52,"2006",13108
"independencia ","una jornada completa","9999","hombre",406,"2006",13108
"independencia ","jornada parcial","2004","hombre",59,"2006",13108
"independencia ","una jornada completa","1996","hombre",65,"2006",13108
"independencia ","una jornada completa","2001","mujer",107,"2006",13108
"independencia ","una jornada completa","2005","mujer",61,"2006",13108
"independencia ","una jornada completa","1998","hombre",113,"2006",13108
"independencia ","una jornada completa","2001","hombre",107,"2006",13108
"independencia ","una jornada completa","1993","hombre",46,"2006",13108
"independencia ","una jornada completa","2000","hombre",65,"2006",13108
"independencia ","jornada parcial","1998","hombre",63,"2006",13108
"independencia ","una jornada completa","2003","hombre",221,"2006",13108
"independencia ","una jornada completa","9999","mujer",154,"2006",13108
"independencia ","una jornada completa","1994","mujer",52,"2006",13108
"independencia ","sin dato","1998","mujer",52,"2006",13108
"independencia ","una jornada completa","2002","mujer",114,"2006",13108
"independencia ","una jornada completa","2002","hombre",61,"2006",13108
"independencia ","una jornada completa","2004","mujer",46,"2006",13108
"iquique ","una jornada completa","1987","hombre",6,"2006",1101
"iquique ","una jornada completa","2006","hombre",6,"2006",1101
"iquique ","una jornada completa","2003","mujer",6,"2006",1101
"iquique ","una jornada completa","2006","mujer",6,"2006",1101
"iquique ","una jornada completa","2004","hombre",6,"2006",1101
"iquique ","una jornada completa","9999","mujer",173,"2006",1101
"iquique ","una jornada completa","9999","hombre",173,"2006",1101
"iquique ","una jornada completa","2003","hombre",211,"2006",1101
"iquique ","jornada parcial","2000","hombre",215,"2006",1101
"iquique ","una jornada completa","1994","hombre",6,"2006",1101
"isla de maipo ","una jornada completa","9999","hombre",90,"2006",13603
"la calera ","jornada parcial","9999","mujer",55,"2006",5502
"la calera ","una jornada completa","1960","hombre",13,"2006",5502
"la cisterna ","una jornada completa","2004","mujer",76,"2006",13109
"la cisterna ","una jornada completa","1998","mujer",92,"2006",13109
"la florida ","una jornada completa","2005","hombre",308,"2006",13110
"la florida ","una jornada completa","1991","mujer",287,"2006",13110
"la florida ","una jornada completa","1993","mujer",308,"2006",13110
"la florida ","una jornada completa","2002","mujer",286,"2006",13110
"la florida ","una jornada completa","1966","mujer",286,"2006",13110
"la florida ","una jornada completa","1983","hombre",308,"2006",13110
