"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","no","5605","mujer",14,"2009",5602
"algarrobo","no","13501","mujer",11,"2009",5602
"algarrobo","no","8401","mujer",33,"2009",5602
"algarrobo","no","5109","mujer",14,"2009",5602
"algarrobo","no","13101","mujer",304,"2009",5602
"algarrobo","no","6310","mujer",8,"2009",5602
"algarrobo","no","5101","mujer",14,"2009",5602
"algarrobo","sí","13101","hombre",8,"2009",5602
"algarrobo","no","10303","mujer",81,"2009",5602
"algarrobo","no","12101","mujer",44,"2009",5602
"algarrobo","no","8414","mujer",11,"2009",5602
"algarrobo","no","8416","mujer",19,"2009",5602
"algarrobo","no","5102","mujer",87,"2009",5602
"algarrobo","no","6101","mujer",8,"2009",5602
"algarrobo","no","13109","mujer",14,"2009",5602
"algarrobo","no","7301","mujer",11,"2009",5602
"algarrobo","no","10401","hombre",10,"2009",5602
"algarrobo","no","","hombre",922,"2009",5602
"algarrobo","no","1101","mujer",10,"2009",5602
"algarrobo","no","4301","mujer",14,"2009",5602
"algarrobo","no","13120","hombre",12,"2009",5602
"algarrobo","no","5601","mujer",56,"2009",5602
"algarrobo","no","9211","hombre",14,"2009",5602
"algarrobo","no","8101","mujer",191,"2009",5602
"algarrobo","no","4203","mujer",10,"2009",5602
"algarrobo","no","6301","hombre",11,"2009",5602
"algarrobo","no","4101","mujer",11,"2009",5602
"algarrobo","no","2301","hombre",12,"2009",5602
"algarrobo","sí","5501","mujer",11,"2009",5602
"algarrobo","no","5101","hombre",14,"2009",5602
"algarrobo","no","5601","hombre",103,"2009",5602
"algarrobo","no","13101","hombre",198,"2009",5602
"algarrobo","no","16999","hombre",22,"2009",5602
"algarrobo","no","6117","mujer",14,"2009",5602
"algarrobo","no","7304","mujer",8,"2009",5602
"algarrobo","no","12101","hombre",44,"2009",5602
"algarrobo","no","5604","hombre",8,"2009",5602
"algarrobo","no","8301","mujer",14,"2009",5602
"algarrobo","no","6105","mujer",8,"2009",5602
"algarrobo","no","6115","mujer",8,"2009",5602
"algarrobo","no","6302","mujer",8,"2009",5602
"algarrobo","no","8401","hombre",32,"2009",5602
"algarrobo","no","13201","mujer",14,"2009",5602
"algarrobo","no","","mujer",1770,"2009",5602
"algarrobo","no","6301","mujer",11,"2009",5602
"algarrobo","no","9114","mujer",8,"2009",5602
"algarrobo","no","5301","mujer",14,"2009",5602
"algarrobo","no","7401","hombre",8,"2009",5602
"algarrobo","no","15101","hombre",28,"2009",5602
"algarrobo","no","99999","mujer",10,"2009",5602
"algarrobo","no","13401","mujer",12,"2009",5602
"algarrobo","no","8102","hombre",14,"2009",5602
"algarrobo","no","13126","mujer",14,"2009",5602
"algarrobo","no","4102","mujer",14,"2009",5602
"alhué","no","9104","mujer",6,"2009",13502
"alhué","no","9201","mujer",5,"2009",13502
"alhué","no","13124","hombre",8,"2009",13502
"alhué","no","6205","mujer",8,"2009",13502
"alhué","no","13108","mujer",5,"2009",13502
