"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","Otra nacionalidad. Especifique país","Colombia","Mujer",188,"2017",5602
"Alhué","Otra nacionalidad. Especifique país","Colombia","Mujer",17,"2017",13502
"Alhué","Otra nacionalidad. Especifique país","Haití","Mujer",25,"2017",13502
"Alhué","Otra nacionalidad. Especifique país","Perú","Mujer",32,"2017",13502
"Alhué","Otra nacionalidad. Especifique país","Haití","Hombre",75,"2017",13502
"Alhué","Otra nacionalidad. Especifique país","Colombia","Hombre",34,"2017",13502
"Alto Hospicio","Otra nacionalidad. Especifique país","Colombia","Hombre",383,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","México","Hombre",60,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Venezuela","Hombre",308,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Perú","Mujer",2473,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Paraguay","Mujer",60,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Cuba","Hombre",265,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Holanda","Mujer",36,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Ecuador","Mujer",242,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Ecuador","Hombre",35,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","El Salvador","Hombre",58,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Colombia","Mujer",199,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Argentina","Hombre",64,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Bolivia","Hombre",2285,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Venezuela","Mujer",456,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","México","Mujer",204,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Argentina","Mujer",39,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Bolivia","Mujer",2985,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","Perú","Hombre",1830,"2017",1107
"Alto Hospicio","Otra nacionalidad. Especifique país","El Salvador","Mujer",29,"2017",1107
"Ancud","Otra nacionalidad. Especifique país","Ecuador","Hombre",168,"2017",10202
"Ancud","Otra nacionalidad. Especifique país","Ecuador","Mujer",336,"2017",10202
"Ancud","Otra nacionalidad. Especifique país","Estados Unidos","Hombre",73,"2017",10202
"Angol","Otra nacionalidad. Especifique país","Colombia","Mujer",144,"2017",9201
"Angol","Otra nacionalidad. Especifique país","Colombia","Hombre",78,"2017",9201
"Angol","Otra nacionalidad. Especifique país","Rusia","Mujer",68,"2017",9201
