"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","otra nacionalidad (extranjeros)","ecuador","mujer",96,"2013",5602
"algarrobo","chilena (exclusivamente)","argentina","hombre",766,"2013",5602
"alto biobío","otra nacionalidad (extranjeros)","bolivia","mujer",14,"2013",8314
"alto hospicio","otra nacionalidad (extranjeros)","bolivia","hombre",826,"2013",1107
"alto hospicio","chilena (exclusivamente)","perú","mujer",73,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","ecuador","mujer",48,"2013",1107
"alto hospicio","chilena (exclusivamente)","bolivia","hombre",42,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","perú","hombre",1017,"2013",1107
"alto hospicio","chilena (exclusivamente)","argentina","hombre",48,"2013",1107
"alto hospicio","chilena (exclusivamente)","perú","hombre",28,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","bolivia","hombre",53,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","colombia","mujer",421,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","argentina","mujer",28,"2013",1107
"alto hospicio","chilena (exclusivamente)","ecuador","mujer",37,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","españa","mujer",35,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","bolivia","mujer",53,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","colombia","hombre",180,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","perú","hombre",51,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","argentina","hombre",28,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","ecuador","hombre",51,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","alemania","hombre",20,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","paraguay","mujer",51,"2013",1107
"alto hospicio","chilena (exclusivamente)","bolivia","mujer",78,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","perú","mujer",1319,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","bolivia","mujer",1084,"2013",1107
"alto hospicio","chilena (exclusivamente)","méxico","mujer",23,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","brasil","hombre",20,"2013",1107
"alto hospicio","otra nacionalidad (extranjeros)","pakistán","hombre",21,"2013",1107
"alto hospicio","chilena y otra (doble nacionalidad)","perú","mujer",123,"2013",1107
"ancud","chilena (exclusivamente)","argentina","hombre",50,"2013",10202
"angol","otra nacionalidad (extranjeros)","cuba","hombre",41,"2013",9201
"angol","chilena y otra (doble nacionalidad)","perú","mujer",33,"2013",9201
"angol","otra nacionalidad (extranjeros)","argentina","mujer",30,"2013",9201
"angol","otra nacionalidad (extranjeros)","argentina","hombre",60,"2013",9201
"angol","chilena y otra (doble nacionalidad)","españa","mujer",66,"2013",9201
"angol","chilena (exclusivamente)","argentina","mujer",24,"2013",9201
"antofagasta","otra nacionalidad (extranjeros)","perú","mujer",2235,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","argentina","hombre",46,"2013",2101
"antofagasta","chilena (exclusivamente)","uruguay","hombre",52,"2013",2101
"antofagasta","chilena (exclusivamente)","perú","hombre",116,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","colombia","mujer",2243,"2013",2101
"antofagasta","chilena (exclusivamente)","uruguay","mujer",237,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","bolivia","hombre",270,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","paraguay","mujer",33,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","españa","mujer",131,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","italia","mujer",82,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","colombia","hombre",1441,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","bolivia","hombre",122,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","argentina","hombre",614,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","colombia","mujer",809,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","colombia","hombre",1251,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","españa","hombre",253,"2013",2101
"antofagasta","chilena (exclusivamente)","argentina","hombre",96,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","bolivia","mujer",760,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","cuba","hombre",170,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","perú","hombre",2359,"2013",2101
"antofagasta","chilena (exclusivamente)","bolivia","mujer",50,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","brasil","mujer",198,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","perú","mujer",766,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","bolivia","mujer",297,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","suecia","mujer",46,"2013",2101
"antofagasta","chilena (exclusivamente)","méxico","hombre",132,"2013",2101
"antofagasta","chilena (exclusivamente)","estados unidos","hombre",106,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","brasil","hombre",51,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","méxico","mujer",66,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","ecuador","hombre",589,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","uruguay","hombre",58,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","argentina","mujer",233,"2013",2101
"antofagasta","chilena y otra (doble nacionalidad)","perú","hombre",317,"2013",2101
"antofagasta","otra nacionalidad (extranjeros)","estados unidos","hombre",72,"2013",2101
"arica","otra nacionalidad (extranjeros)","paraguay","mujer",60,"2013",15101
"arica","otra nacionalidad (extranjeros)","alemania","hombre",18,"2013",15101
"arica","otra nacionalidad (extranjeros)","argentina","hombre",23,"2013",15101
"arica","chilena y otra (doble nacionalidad)","no contesta","hombre",16,"2013",15101
"arica","chilena (exclusivamente)","bolivia","mujer",72,"2013",15101
"arica","otra nacionalidad (extranjeros)","bolivia","hombre",822,"2013",15101
"arica","chilena y otra (doble nacionalidad)","francia","mujer",33,"2013",15101
"arica","otra nacionalidad (extranjeros)","argentina","mujer",33,"2013",15101
"arica","chilena y otra (doble nacionalidad)","argentina","mujer",100,"2013",15101
"arica","chilena (exclusivamente)","perú","mujer",41,"2013",15101
"arica","otra nacionalidad (extranjeros)","turquía","mujer",11,"2013",15101
"arica","chilena (exclusivamente)","bolivia","hombre",18,"2013",15101
"arica","chilena y otra (doble nacionalidad)","bolivia","mujer",290,"2013",15101
"arica","chilena y otra (doble nacionalidad)","perú","hombre",104,"2013",15101
"arica","otra nacionalidad (extranjeros)","brasil","mujer",25,"2013",15101
"arica","chilena y otra (doble nacionalidad)","colombia","hombre",47,"2013",15101
"arica","otra nacionalidad (extranjeros)","colombia","hombre",29,"2013",15101
"arica","otra nacionalidad (extranjeros)","bolivia","mujer",1498,"2013",15101
"arica","otra nacionalidad (extranjeros)","brasil","hombre",25,"2013",15101
"arica","otra nacionalidad (extranjeros)","méxico","hombre",41,"2013",15101
"arica","otra nacionalidad (extranjeros)","perú","mujer",1286,"2013",15101
"arica","chilena (exclusivamente)","perú","hombre",15,"2013",15101
"arica","otra nacionalidad (extranjeros)","perú","hombre",986,"2013",15101
"arica","chilena y otra (doble nacionalidad)","bolivia","hombre",207,"2013",15101
"arica","otra nacionalidad (extranjeros)","república dominicana","mujer",11,"2013",15101
"arica","chilena y otra (doble nacionalidad)","argentina","hombre",29,"2013",15101
"arica","chilena y otra (doble nacionalidad)","brasil","hombre",19,"2013",15101
"arica","chilena y otra (doble nacionalidad)","ecuador","mujer",11,"2013",15101
"arica","otra nacionalidad (extranjeros)","ecuador","hombre",24,"2013",15101
"arica","chilena y otra (doble nacionalidad)","ecuador","hombre",11,"2013",15101
"arica","chilena (exclusivamente)","noruega","hombre",12,"2013",15101
"arica","chilena y otra (doble nacionalidad)","perú","mujer",256,"2013",15101
"arica","chilena (exclusivamente)","israel","hombre",28,"2013",15101
"arica","chilena y otra (doble nacionalidad)","colombia","mujer",66,"2013",15101
"arica","chilena (exclusivamente)","bélgica","hombre",33,"2013",15101
"arica","otra nacionalidad (extranjeros)","cuba","hombre",78,"2013",15101
"arica","otra nacionalidad (extranjeros)","pakistán","hombre",41,"2013",15101
"arica","chilena (exclusivamente)","uruguay","hombre",15,"2013",15101
"aysén","otra nacionalidad (extranjeros)","república dominicana","mujer",9,"2013",11201
"aysén","chilena (exclusivamente)","argentina","hombre",13,"2013",11201
"aysén","otra nacionalidad (extranjeros)","colombia","mujer",69,"2013",11201
"aysén","chilena (exclusivamente)","panamá","hombre",24,"2013",11201
"aysén","otra nacionalidad (extranjeros)","francia","hombre",16,"2013",11201
"aysén","otra nacionalidad (extranjeros)","bolivia","mujer",13,"2013",11201
"aysén","otra nacionalidad (extranjeros)","alemania","mujer",7,"2013",11201
"aysén","otra nacionalidad (extranjeros)","brasil","mujer",12,"2013",11201
"aysén","otra nacionalidad (extranjeros)","rumanía","mujer",31,"2013",11201
"aysén","otra nacionalidad (extranjeros)","argentina","mujer",30,"2013",11201
"aysén","chilena y otra (doble nacionalidad)","argentina","hombre",14,"2013",11201
"aysén","chilena (exclusivamente)","argentina","mujer",13,"2013",11201
"aysén","chilena y otra (doble nacionalidad)","argentina","mujer",66,"2013",11201
"aysén","otra nacionalidad (extranjeros)","república dominicana","hombre",9,"2013",11201
"bulnes","chilena y otra (doble nacionalidad)","argentina","mujer",71,"2013",16102
"cabildo","chilena y otra (doble nacionalidad)","argentina","mujer",70,"2013",5402
"calama","chilena (exclusivamente)","bolivia","hombre",86,"2013",2201
"calama","chilena y otra (doble nacionalidad)","perú","mujer",57,"2013",2201
"calama","otra nacionalidad (extranjeros)","ecuador","mujer",36,"2013",2201
"calama","otra nacionalidad (extranjeros)","bolivia","mujer",3227,"2013",2201
"calama","otra nacionalidad (extranjeros)","argentina","hombre",168,"2013",2201
"calama","otra nacionalidad (extranjeros)","no contesta","hombre",39,"2013",2201
"calama","otra nacionalidad (extranjeros)","colombia","hombre",240,"2013",2201
"calama","otra nacionalidad (extranjeros)","colombia","mujer",378,"2013",2201
"calama","chilena y otra (doble nacionalidad)","colombia","mujer",58,"2013",2201
"calama","otra nacionalidad (extranjeros)","perú","hombre",303,"2013",2201
"calama","otra nacionalidad (extranjeros)","perú","mujer",697,"2013",2201
"calama","otra nacionalidad (extranjeros)","argentina","mujer",90,"2013",2201
"calama","chilena (exclusivamente)","bolivia","mujer",68,"2013",2201
"calama","otra nacionalidad (extranjeros)","bolivia","hombre",2721,"2013",2201
"calama","chilena y otra (doble nacionalidad)","argentina","mujer",295,"2013",2201
"calama","chilena y otra (doble nacionalidad)","perú","hombre",57,"2013",2201
"calama","chilena (exclusivamente)","ecuador","hombre",36,"2013",2201
"calama","chilena (exclusivamente)","ecuador","mujer",36,"2013",2201
