",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"94,""cañete"",""sí"",""ecuador"",""hombre"",30,""2015"",8203"
"95,""cañete"",""sí"",""ecuador"",""mujer"",48,""2015"",8203"
"96,""cañete"",""no"",""ecuador"",""mujer"",14,""2015"",8203"
"97,""carahue"",""no"",""argentina"",""hombre"",31,""2015"",9102"
"98,""castro"",""no"",""colombia"",""mujer"",13,""2015"",10201"
"99,""castro"",""no"",""bolivia"",""mujer"",22,""2015"",10201"
"100,""castro"",""no"",""argentina"",""hombre"",37,""2015"",10201"
"101,""castro"",""sí"",""argentina"",""hombre"",31,""2015"",10201"
"102,""castro"",""sí"",""españa"",""mujer"",18,""2015"",10201"
"103,""castro"",""sí"",""españa"",""hombre"",18,""2015"",10201"
"104,""castro"",""sí"",""guatemala"",""mujer"",31,""2015"",10201"
"105,""castro"",""no"",""colombia"",""hombre"",13,""2015"",10201"
"106,""castro"",""sí"",""colombia"",""mujer"",49,""2015"",10201"
"107,""castro"",""sí"",""argentina"",""mujer"",43,""2015"",10201"
"108,""castro"",""sí"",""francia"",""mujer"",18,""2015"",10201"
"109,""castro"",""sí"",""uruguay"",""hombre"",20,""2015"",10201"
"110,""castro"",""no"",""polonia"",""mujer"",13,""2015"",10201"
"111,""castro"",""sí"",""colombia"",""hombre"",26,""2015"",10201"
"112,""cerro navia"",""no"",""perú"",""mujer"",141,""2015"",13103"
"113,""cerro navia"",""sí"",""perú"",""mujer"",96,""2015"",13103"
"114,""cerro navia"",""no"",""paraguay"",""hombre"",141,""2015"",13103"
"115,""cerro navia"",""sí"",""paraguay"",""mujer"",423,""2015"",13103"
"116,""cerro navia"",""no"",""paraguay"",""mujer"",141,""2015"",13103"
"117,""cerro navia"",""sí"",""paraguay"",""hombre"",564,""2015"",13103"
"118,""chañaral"",""sí"",""colombia"",""hombre"",6,""2015"",3201"
"119,""chañaral"",""no"",""bolivia"",""mujer"",8,""2015"",3201"
"120,""chañaral"",""no"",""colombia"",""mujer"",6,""2015"",3201"
"121,""chañaral"",""sí"",""perú"",""hombre"",7,""2015"",3201"
"122,""chiguayante"",""sí"",""venezuela"",""mujer"",102,""2015"",8103"
"123,""chiguayante"",""no"",""canadá"",""mujer"",46,""2015"",8103"
"124,""chiguayante"",""no"",""canadá"",""hombre"",46,""2015"",8103"
"125,""chile chico"",""no"",""venezuela"",""mujer"",26,""2015"",11401"
"126,""chile chico"",""sí"",""venezuela"",""hombre"",26,""2015"",11401"
"127,""chile chico"",""no"",""argentina"",""hombre"",20,""2015"",11401"
"128,""chillán"",""sí"",""argentina"",""hombre"",75,""2015"",16101"
"129,""chillán viejo"",""no"",""perú"",""mujer"",16,""2015"",16103"
"130,""chimbarongo"",""sí"",""brasil"",""hombre"",27,""2015"",6303"
"131,""chimbarongo"",""no"",""argentina"",""mujer"",27,""2015"",6303"
"132,""chimbarongo"",""sí"",""argentina"",""hombre"",54,""2015"",6303"
"133,""colbún"",""no"",""estados unidos"",""mujer"",9,""2015"",7402"
"134,""colbún"",""sí"",""argentina"",""mujer"",9,""2015"",7402"
"135,""colina"",""no"",""república dominicana"",""hombre"",108,""2015"",13301"
"136,""colina"",""no"",""bolivia"",""mujer"",123,""2015"",13301"
"137,""colina"",""sí"",""república dominicana"",""hombre"",192,""2015"",13301"
"138,""colina"",""sí"",""argentina"",""hombre"",88,""2015"",13301"
"139,""colina"",""no"",""argentina"",""hombre"",199,""2015"",13301"
"140,""colina"",""sí"",""ecuador"",""hombre"",167,""2015"",13301"
"141,""colina"",""sí"",""república dominicana"",""mujer"",192,""2015"",13301"
"142,""colina"",""no"",""república dominicana"",""mujer"",192,""2015"",13301"
"143,""colina"",""sí"",""bolivia"",""hombre"",349,""2015"",13301"
"144,""colina"",""no"",""argentina"",""mujer"",199,""2015"",13301"
"145,""colina"",""sí"",""argentina"",""mujer"",332,""2015"",13301"
"146,""colina"",""sí"",""perú"",""mujer"",191,""2015"",13301"
"147,""colina"",""sí"",""perú"",""hombre"",365,""2015"",13301"
"148,""colina"",""sí"",""ecuador"",""mujer"",167,""2015"",13301"
"149,""colina"",""no"",""perú"",""mujer"",83,""2015"",13301"
"150,""colina"",""sí"",""bolivia"",""mujer"",108,""2015"",13301"
"151,""concepción"",""sí"",""cuba"",""hombre"",60,""2015"",8101"
"152,""concepción"",""no"",""perú"",""mujer"",77,""2015"",8101"
"153,""concepción"",""no"",""costa rica"",""mujer"",46,""2015"",8101"
"154,""concepción"",""sí"",""ecuador"",""mujer"",103,""2015"",8101"
"155,""concepción"",""sí"",""perú"",""mujer"",18,""2015"",8101"
"156,""concepción"",""sí"",""españa"",""hombre"",48,""2015"",8101"
"157,""concepción"",""sí"",""perú"",""hombre"",172,""2015"",8101"
"158,""concepción"",""no"",""canadá"",""mujer"",168,""2015"",8101"
"159,""conchalí"",""no"",""ecuador"",""mujer"",34,""2015"",13104"
"160,""conchalí"",""sí"",""venezuela"",""mujer"",17,""2015"",13104"
"161,""conchalí"",""no"",""méxico"",""mujer"",24,""2015"",13104"
"162,""conchalí"",""sí"",""perú"",""mujer"",529,""2015"",13104"
"163,""conchalí"",""sí"",""uruguay"",""hombre"",11,""2015"",13104"
"164,""conchalí"",""no"",""guatemala"",""mujer"",10,""2015"",13104"
"165,""conchalí"",""no"",""bolivia"",""mujer"",20,""2015"",13104"
"166,""conchalí"",""no"",""estados unidos"",""hombre"",50,""2015"",13104"
"167,""conchalí"",""no"",""bolivia"",""hombre"",40,""2015"",13104"
"168,""conchalí"",""sí"",""españa"",""hombre"",45,""2015"",13104"
"169,""conchalí"",""no"",""colombia"",""mujer"",59,""2015"",13104"
"170,""conchalí"",""no"",""haití"",""hombre"",12,""2015"",13104"
"171,""conchalí"",""no"",""argentina"",""hombre"",66,""2015"",13104"
"172,""conchalí"",""sí"",""ecuador"",""mujer"",53,""2015"",13104"
"173,""conchalí"",""sí"",""perú"",""hombre"",982,""2015"",13104"
"174,""conchalí"",""no"",""ecuador"",""hombre"",57,""2015"",13104"
"175,""conchalí"",""no"",""uruguay"",""hombre"",24,""2015"",13104"
"176,""conchalí"",""no"",""colombia"",""hombre"",61,""2015"",13104"
"177,""conchalí"",""sí"",""cuba"",""hombre"",28,""2015"",13104"
"178,""conchalí"",""sí"",""colombia"",""mujer"",126,""2015"",13104"
"179,""conchalí"",""sí"",""brasil"",""hombre"",17,""2015"",13104"
"180,""conchalí"",""sí"",""bolivia"",""mujer"",30,""2015"",13104"
"181,""conchalí"",""sí"",""república dominicana"",""mujer"",14,""2015"",13104"
"182,""conchalí"",""no"",""perú"",""mujer"",475,""2015"",13104"
"183,""conchalí"",""sí"",""ecuador"",""hombre"",47,""2015"",13104"
"184,""conchalí"",""no"",""perú"",""hombre"",111,""2015"",13104"
"185,""conchalí"",""sí"",""argentina"",""hombre"",23,""2015"",13104"
"186,""concón"",""sí"",""españa"",""hombre"",46,""2015"",5103"
"187,""concón"",""no"",""españa"",""hombre"",46,""2015"",5103"
"188,""concón"",""sí"",""bélgica"",""mujer"",32,""2015"",5103"
"189,""concón"",""no"",""perú"",""hombre"",76,""2015"",5103"
"190,""concón"",""sí"",""portugal"",""mujer"",49,""2015"",5103"
"191,""concón"",""no"",""venezuela"",""mujer"",70,""2015"",5103"
"192,""concón"",""no"",""brasil"",""mujer"",144,""2015"",5103"
"193,""concón"",""sí"",""estados unidos"",""hombre"",31,""2015"",5103"
"194,""concón"",""no"",""perú"",""mujer"",152,""2015"",5103"
"195,""concón"",""sí"",""república dominicana"",""mujer"",85,""2015"",5103"
"196,""concón"",""no"",""españa"",""mujer"",46,""2015"",5103"
"197,""concón"",""no"",""bélgica"",""hombre"",64,""2015"",5103"
"198,""concón"",""no"",""bélgica"",""mujer"",32,""2015"",5103"
"199,""concón"",""sí"",""perú"",""mujer"",116,""2015"",5103"
"200,""concón"",""no"",""canadá"",""hombre"",33,""2015"",5103"
"201,""concón"",""sí"",""perú"",""hombre"",296,""2015"",5103"
"202,""concón"",""no"",""suecia"",""hombre"",39,""2015"",5103"
"203,""copiapó"",""no"",""brasil"",""hombre"",32,""2015"",3101"
"204,""copiapó"",""no"",""ecuador"",""hombre"",16,""2015"",3101"
"205,""copiapó"",""sí"",""colombia"",""hombre"",405,""2015"",3101"
"206,""copiapó"",""sí"",""colombia"",""mujer"",632,""2015"",3101"
"207,""copiapó"",""no"",""italia"",""mujer"",3,""2015"",3101"
"208,""copiapó"",""sí"",""brasil"",""hombre"",39,""2015"",3101"
"209,""copiapó"",""sí"",""paraguay"",""mujer"",20,""2015"",3101"
"210,""copiapó"",""no"",""perú"",""mujer"",162,""2015"",3101"
"211,""copiapó"",""sí"",""china"",""mujer"",21,""2015"",3101"
"212,""copiapó"",""sí"",""francia"",""mujer"",22,""2015"",3101"
"213,""copiapó"",""sí"",""china"",""hombre"",130,""2015"",3101"
"214,""copiapó"",""sí"",""perú"",""mujer"",111,""2015"",3101"
"215,""copiapó"",""sí"",""brasil"",""mujer"",64,""2015"",3101"
"216,""copiapó"",""sí"",""españa"",""mujer"",10,""2015"",3101"
"217,""copiapó"",""sí"",""bolivia"",""hombre"",58,""2015"",3101"
"218,""copiapó"",""no"",""bolivia"",""mujer"",58,""2015"",3101"
"219,""copiapó"",""sí"",""perú"",""hombre"",107,""2015"",3101"
"220,""copiapó"",""sí"",""ecuador"",""mujer"",79,""2015"",3101"
"221,""copiapó"",""no"",""colombia"",""hombre"",66,""2015"",3101"
"222,""copiapó"",""sí"",""argentina"",""hombre"",40,""2015"",3101"
"223,""copiapó"",""no"",""colombia"",""mujer"",172,""2015"",3101"
"224,""copiapó"",""no"",""paraguay"",""mujer"",10,""2015"",3101"
"225,""copiapó"",""no"",""argentina"",""mujer"",40,""2015"",3101"
"226,""copiapó"",""sí"",""ecuador"",""hombre"",46,""2015"",3101"
"227,""copiapó"",""sí"",""bélgica"",""hombre"",10,""2015"",3101"
"228,""copiapó"",""sí"",""cuba"",""mujer"",18,""2015"",3101"
"229,""copiapó"",""no"",""bolivia"",""hombre"",20,""2015"",3101"
"230,""copiapó"",""sí"",""canadá"",""hombre"",12,""2015"",3101"
"231,""copiapó"",""sí"",""bolivia"",""mujer"",249,""2015"",3101"
"232,""copiapó"",""no"",""brasil"",""mujer"",75,""2015"",3101"
"233,""copiapó"",""no"",""ecuador"",""mujer"",66,""2015"",3101"
"234,""copiapó"",""no"",""canadá"",""hombre"",27,""2015"",3101"
"235,""coquimbo"",""sí"",""uruguay"",""hombre"",328,""2015"",4102"
"236,""coquimbo"",""no"",""colombia"",""hombre"",88,""2015"",4102"
"237,""coquimbo"",""sí"",""perú"",""hombre"",192,""2015"",4102"
"238,""coquimbo"",""no"",""argentina"",""hombre"",71,""2015"",4102"
"239,""coquimbo"",""sí"",""perú"",""mujer"",83,""2015"",4102"
"240,""coquimbo"",""no"",""colombia"",""mujer"",226,""2015"",4102"
"241,""coquimbo"",""sí"",""colombia"",""mujer"",171,""2015"",4102"
"242,""coquimbo"",""sí"",""brasil"",""mujer"",79,""2015"",4102"
"243,""coquimbo"",""no"",""ecuador"",""mujer"",371,""2015"",4102"
"244,""coquimbo"",""no"",""españa"",""mujer"",85,""2015"",4102"
"245,""coquimbo"",""sí"",""argentina"",""mujer"",126,""2015"",4102"
"246,""coquimbo"",""no"",""argentina"",""mujer"",71,""2015"",4102"
"247,""coquimbo"",""no"",""perú"",""mujer"",88,""2015"",4102"
"248,""coquimbo"",""sí"",""ecuador"",""hombre"",319,""2015"",4102"
"249,""coquimbo"",""sí"",""colombia"",""hombre"",88,""2015"",4102"
"250,""coquimbo"",""no"",""serbia"",""hombre"",121,""2015"",4102"
"251,""coquimbo"",""sí"",""ecuador"",""mujer"",73,""2015"",4102"
"252,""coquimbo"",""no"",""bolivia"",""mujer"",105,""2015"",4102"
"253,""coyhaique"",""no"",""argentina"",""hombre"",20,""2015"",11101"
"254,""coyhaique"",""no"",""colombia"",""mujer"",60,""2015"",11101"
"255,""coyhaique"",""no"",""venezuela"",""mujer"",88,""2015"",11101"
"256,""coyhaique"",""sí"",""colombia"",""mujer"",185,""2015"",11101"
"257,""coyhaique"",""sí"",""colombia"",""hombre"",89,""2015"",11101"
"258,""coyhaique"",""no"",""colombia"",""hombre"",50,""2015"",11101"
"259,""coyhaique"",""sí"",""venezuela"",""hombre"",44,""2015"",11101"
"260,""coyhaique"",""no"",""perú"",""mujer"",40,""2015"",11101"
"261,""coyhaique"",""sí"",""argentina"",""hombre"",45,""2015"",11101"
"262,""coyhaique"",""no"",""argentina"",""mujer"",37,""2015"",11101"
"263,""coyhaique"",""sí"",""perú"",""hombre"",40,""2015"",11101"
"264,""cunco"",""no"",""no contesta"",""mujer"",20,""2015"",9103"
"265,""cunco"",""sí"",""no contesta"",""hombre"",40,""2015"",9103"
"266,""curacautín"",""sí"",""españa"",""mujer"",34,""2015"",9203"
"267,""curicó"",""sí"",""ecuador"",""hombre"",54,""2015"",7301"
"268,""curicó"",""sí"",""argentina"",""hombre"",64,""2015"",7301"
"269,""curicó"",""sí"",""colombia"",""mujer"",213,""2015"",7301"
"270,""el bosque"",""sí"",""haití"",""mujer"",177,""2015"",13105"
"271,""el bosque"",""no"",""venezuela"",""mujer"",53,""2015"",13105"
"272,""el bosque"",""no"",""perú"",""hombre"",49,""2015"",13105"
"273,""el bosque"",""sí"",""perú"",""hombre"",37,""2015"",13105"
"274,""el bosque"",""no"",""estados unidos"",""hombre"",34,""2015"",13105"
"275,""el bosque"",""sí"",""argentina"",""mujer"",53,""2015"",13105"
"276,""el bosque"",""sí"",""argentina"",""hombre"",29,""2015"",13105"
"277,""el bosque"",""no"",""argentina"",""mujer"",82,""2015"",13105"
"278,""el bosque"",""no"",""siria"",""mujer"",37,""2015"",13105"
"279,""el bosque"",""sí"",""haití"",""hombre"",118,""2015"",13105"
"280,""el bosque"",""no"",""haití"",""hombre"",59,""2015"",13105"
"281,""el bosque"",""no"",""perú"",""mujer"",74,""2015"",13105"
"282,""el bosque"",""sí"",""paraguay"",""mujer"",29,""2015"",13105"
"283,""el bosque"",""sí"",""perú"",""mujer"",123,""2015"",13105"
"284,""el quisco"",""sí"",""ecuador"",""mujer"",13,""2015"",5604"
"285,""el quisco"",""sí"",""perú"",""hombre"",26,""2015"",5604"
"286,""el quisco"",""sí"",""ecuador"",""hombre"",13,""2015"",5604"
"287,""el quisco"",""sí"",""suecia"",""hombre"",13,""2015"",5604"
"288,""el quisco"",""sí"",""argentina"",""mujer"",44,""2015"",5604"
"289,""el quisco"",""no"",""brasil"",""mujer"",20,""2015"",5604"
"290,""el quisco"",""sí"",""colombia"",""hombre"",23,""2015"",5604"
"291,""el quisco"",""no"",""suecia"",""mujer"",13,""2015"",5604"
"292,""el quisco"",""sí"",""perú"",""mujer"",13,""2015"",5604"
"293,""estación central"",""sí"",""perú"",""hombre"",2519,""2015"",13106"
"294,""estación central"",""no"",""haití"",""hombre"",108,""2015"",13106"
"295,""estación central"",""no"",""haití"",""mujer"",122,""2015"",13106"
"296,""estación central"",""sí"",""colombia"",""hombre"",181,""2015"",13106"
"297,""estación central"",""sí"",""argentina"",""hombre"",88,""2015"",13106"
"298,""estación central"",""no"",""colombia"",""mujer"",230,""2015"",13106"
"299,""estación central"",""sí"",""haití"",""hombre"",460,""2015"",13106"
"300,""estación central"",""no"",""perú"",""mujer"",720,""2015"",13106"
"301,""estación central"",""sí"",""república dominicana"",""mujer"",460,""2015"",13106"
"302,""estación central"",""sí"",""haití"",""mujer"",108,""2015"",13106"
"303,""estación central"",""no"",""perú"",""hombre"",492,""2015"",13106"
"304,""estación central"",""sí"",""perú"",""mujer"",1521,""2015"",13106"
"305,""estación central"",""no"",""república dominicana"",""mujer"",230,""2015"",13106"
"306,""estación central"",""sí"",""colombia"",""mujer"",230,""2015"",13106"
"307,""freire"",""no"",""argentina"",""hombre"",34,""2015"",9105"
"308,""hualpén"",""sí"",""brasil"",""hombre"",91,""2015"",8112"
"309,""iquique"",""sí"",""alemania"",""hombre"",55,""2015"",1101"
"310,""iquique"",""sí"",""bolivia"",""mujer"",1535,""2015"",1101"
"311,""iquique"",""sí"",""bolivia"",""hombre"",1368,""2015"",1101"
"312,""iquique"",""sí"",""paraguay"",""hombre"",47,""2015"",1101"
"313,""iquique"",""sí"",""estados unidos"",""mujer"",55,""2015"",1101"
"314,""iquique"",""no"",""república dominicana"",""mujer"",43,""2015"",1101"
"315,""iquique"",""no"",""perú"",""hombre"",814,""2015"",1101"
"316,""iquique"",""sí"",""colombia"",""hombre"",897,""2015"",1101"
"317,""iquique"",""sí"",""brasil"",""mujer"",28,""2015"",1101"
"318,""iquique"",""sí"",""francia"",""mujer"",50,""2015"",1101"
"319,""iquique"",""no"",""venezuela"",""hombre"",90,""2015"",1101"
"320,""iquique"",""sí"",""perú"",""hombre"",2526,""2015"",1101"
"321,""iquique"",""sí"",""ecuador"",""hombre"",113,""2015"",1101"
"322,""iquique"",""no"",""perú"",""mujer"",869,""2015"",1101"
"323,""iquique"",""no"",""bolivia"",""mujer"",1840,""2015"",1101"
"324,""iquique"",""sí"",""argentina"",""hombre"",83,""2015"",1101"
"325,""iquique"",""sí"",""ecuador"",""mujer"",279,""2015"",1101"
"326,""iquique"",""no"",""ecuador"",""mujer"",113,""2015"",1101"
"327,""iquique"",""sí"",""argentina"",""mujer"",148,""2015"",1101"
"328,""iquique"",""sí"",""colombia"",""mujer"",887,""2015"",1101"
"329,""iquique"",""sí"",""china"",""hombre"",153,""2015"",1101"
"330,""iquique"",""sí"",""india"",""hombre"",306,""2015"",1101"
"331,""iquique"",""sí"",""china"",""mujer"",153,""2015"",1101"
"332,""iquique"",""sí"",""qatar"",""hombre"",30,""2015"",1101"
"333,""iquique"",""no"",""colombia"",""hombre"",395,""2015"",1101"
"334,""iquique"",""no"",""españa"",""mujer"",67,""2015"",1101"
"335,""iquique"",""no"",""colombia"",""mujer"",807,""2015"",1101"
"336,""iquique"",""sí"",""pakistán"",""hombre"",398,""2015"",1101"
"337,""iquique"",""no"",""argentina"",""hombre"",45,""2015"",1101"
"338,""iquique"",""no"",""bolivia"",""hombre"",260,""2015"",1101"
"339,""iquique"",""no"",""ecuador"",""hombre"",76,""2015"",1101"
"340,""iquique"",""sí"",""perú"",""mujer"",2110,""2015"",1101"
"341,""la florida"",""sí"",""brasil"",""mujer"",159,""2015"",13110"
"342,""la florida"",""no"",""perú"",""mujer"",481,""2015"",13110"
"343,""la florida"",""no"",""argentina"",""mujer"",200,""2015"",13110"
"344,""la florida"",""sí"",""perú"",""mujer"",122,""2015"",13110"
"345,""la florida"",""sí"",""ecuador"",""mujer"",202,""2015"",13110"
"346,""la florida"",""no"",""cuba"",""mujer"",135,""2015"",13110"
"347,""la florida"",""sí"",""perú"",""hombre"",962,""2015"",13110"
"348,""la florida"",""no"",""brasil"",""mujer"",53,""2015"",13110"
"349,""la florida"",""sí"",""colombia"",""mujer"",312,""2015"",13110"
"350,""la florida"",""sí"",""españa"",""hombre"",177,""2015"",13110"
"351,""la florida"",""sí"",""brasil"",""hombre"",106,""2015"",13110"
"352,""la florida"",""sí"",""colombia"",""hombre"",422,""2015"",13110"
"353,""la granja"",""sí"",""perú"",""hombre"",397,""2015"",13111"
"354,""la granja"",""no"",""perú"",""mujer"",162,""2015"",13111"
"355,""la granja"",""sí"",""colombia"",""hombre"",89,""2015"",13111"
"356,""la ligua"",""sí"",""paraguay"",""mujer"",16,""2015"",5401"
"357,""la pintana"",""sí"",""colombia"",""mujer"",250,""2015"",13112"
"358,""la pintana"",""no"",""perú"",""mujer"",129,""2015"",13112"
"359,""la pintana"",""sí"",""argentina"",""hombre"",177,""2015"",13112"
"360,""la pintana"",""sí"",""ecuador"",""mujer"",202,""2015"",13112"
"361,""la pintana"",""no"",""colombia"",""mujer"",128,""2015"",13112"
"362,""la pintana"",""sí"",""colombia"",""hombre"",128,""2015"",13112"
"363,""la pintana"",""sí"",""perú"",""hombre"",129,""2015"",13112"
"364,""la serena"",""no"",""perú"",""mujer"",195,""2015"",4101"
"365,""la serena"",""sí"",""ecuador"",""hombre"",38,""2015"",4101"
"366,""la serena"",""sí"",""colombia"",""hombre"",93,""2015"",4101"
"367,""la serena"",""sí"",""españa"",""hombre"",74,""2015"",4101"
"368,""la serena"",""no"",""brasil"",""hombre"",52,""2015"",4101"
"369,""la serena"",""sí"",""perú"",""hombre"",390,""2015"",4101"
"370,""la serena"",""no"",""tailandia"",""mujer"",49,""2015"",4101"
"371,""la serena"",""sí"",""paraguay"",""hombre"",89,""2015"",4101"
"372,""la serena"",""sí"",""alemania"",""hombre"",99,""2015"",4101"
"373,""la serena"",""no"",""colombia"",""mujer"",84,""2015"",4101"
