",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"1,""alto hospicio"",""sí"",""colombia"",""hombre"",190,""2015"",1107"
"2,""alto hospicio"",""no"",""colombia"",""mujer"",108,""2015"",1107"
"3,""alto hospicio"",""sí"",""colombia"",""mujer"",132,""2015"",1107"
"4,""alto hospicio"",""sí"",""ecuador"",""hombre"",147,""2015"",1107"
"5,""alto hospicio"",""sí"",""ecuador"",""mujer"",174,""2015"",1107"
"6,""alto hospicio"",""no"",""ecuador"",""mujer"",111,""2015"",1107"
"7,""alto hospicio"",""no"",""perú"",""mujer"",324,""2015"",1107"
"8,""alto hospicio"",""sí"",""bolivia"",""hombre"",866,""2015"",1107"
"9,""alto hospicio"",""sí"",""perú"",""mujer"",566,""2015"",1107"
"10,""alto hospicio"",""no"",""perú"",""hombre"",317,""2015"",1107"
"11,""alto hospicio"",""no"",""bolivia"",""mujer"",694,""2015"",1107"
"12,""alto hospicio"",""no"",""colombia"",""hombre"",21,""2015"",1107"
"13,""alto hospicio"",""sí"",""paraguay"",""hombre"",48,""2015"",1107"
"14,""alto hospicio"",""sí"",""bolivia"",""mujer"",940,""2015"",1107"
"15,""alto hospicio"",""no"",""bolivia"",""hombre"",151,""2015"",1107"
"16,""alto hospicio"",""sí"",""perú"",""hombre"",419,""2015"",1107"
"17,""alto hospicio"",""no"",""paraguay"",""mujer"",31,""2015"",1107"
"18,""alto hospicio"",""sí"",""argentina"",""hombre"",22,""2015"",1107"
"19,""ancud"",""sí"",""colombia"",""mujer"",53,""2015"",10202"
"20,""ancud"",""no"",""colombia"",""hombre"",53,""2015"",10202"
"21,""ancud"",""sí"",""colombia"",""hombre"",53,""2015"",10202"
"22,""angol"",""sí"",""haití"",""hombre"",22,""2015"",9201"
"23,""angol"",""no"",""república dominicana"",""mujer"",22,""2015"",9201"
"24,""antofagasta"",""no"",""perú"",""mujer"",357,""2015"",2101"
"25,""antofagasta"",""sí"",""uruguay"",""mujer"",114,""2015"",2101"
"26,""antofagasta"",""sí"",""argentina"",""mujer"",426,""2015"",2101"
"27,""antofagasta"",""sí"",""cuba"",""mujer"",107,""2015"",2101"
"28,""antofagasta"",""sí"",""bolivia"",""mujer"",825,""2015"",2101"
"29,""antofagasta"",""sí"",""perú"",""mujer"",1741,""2015"",2101"
"30,""antofagasta"",""no"",""perú"",""hombre"",276,""2015"",2101"
"31,""antofagasta"",""sí"",""no contesta"",""mujer"",102,""2015"",2101"
"32,""antofagasta"",""sí"",""perú"",""hombre"",1000,""2015"",2101"
"33,""antofagasta"",""sí"",""españa"",""hombre"",222,""2015"",2101"
"34,""antofagasta"",""sí"",""cuba"",""hombre"",107,""2015"",2101"
"35,""antofagasta"",""sí"",""colombia"",""hombre"",820,""2015"",2101"
"36,""antofagasta"",""sí"",""argentina"",""hombre"",96,""2015"",2101"
"37,""antofagasta"",""no"",""paraguay"",""mujer"",375,""2015"",2101"
"38,""antofagasta"",""no"",""bolivia"",""mujer"",364,""2015"",2101"
"39,""antofagasta"",""no"",""bolivia"",""hombre"",316,""2015"",2101"
"40,""antofagasta"",""sí"",""ecuador"",""hombre"",293,""2015"",2101"
"41,""antofagasta"",""no"",""colombia"",""mujer"",664,""2015"",2101"
"42,""antofagasta"",""no"",""cuba"",""mujer"",107,""2015"",2101"
"43,""antofagasta"",""no"",""argentina"",""mujer"",155,""2015"",2101"
"44,""antofagasta"",""sí"",""ecuador"",""mujer"",293,""2015"",2101"
"45,""antofagasta"",""sí"",""bolivia"",""hombre"",384,""2015"",2101"
"46,""antofagasta"",""sí"",""colombia"",""mujer"",1557,""2015"",2101"
"47,""antofagasta"",""no"",""uruguay"",""mujer"",126,""2015"",2101"
"48,""antofagasta"",""no"",""colombia"",""hombre"",40,""2015"",2101"
"49,""arauco"",""no"",""italia"",""mujer"",58,""2015"",8202"
"50,""arica"",""sí"",""bolivia"",""hombre"",600,""2015"",15101"
"51,""arica"",""no"",""argentina"",""mujer"",82,""2015"",15101"
"52,""arica"",""sí"",""argentina"",""hombre"",32,""2015"",15101"
"53,""arica"",""no"",""bolivia"",""mujer"",689,""2015"",15101"
"54,""arica"",""no"",""perú"",""mujer"",786,""2015"",15101"
"55,""arica"",""sí"",""perú"",""mujer"",486,""2015"",15101"
"56,""arica"",""sí"",""estados unidos"",""hombre"",32,""2015"",15101"
"57,""arica"",""no"",""bolivia"",""hombre"",89,""2015"",15101"
"58,""arica"",""sí"",""bolivia"",""mujer"",594,""2015"",15101"
"59,""arica"",""sí"",""perú"",""hombre"",685,""2015"",15101"
"60,""arica"",""no"",""venezuela"",""mujer"",77,""2015"",15101"
"61,""arica"",""sí"",""colombia"",""hombre"",136,""2015"",15101"
"62,""arica"",""no"",""perú"",""hombre"",257,""2015"",15101"
"63,""arica"",""sí"",""brasil"",""hombre"",32,""2015"",15101"
"64,""arica"",""no"",""colombia"",""hombre"",104,""2015"",15101"
"65,""arica"",""no"",""colombia"",""mujer"",41,""2015"",15101"
"66,""arica"",""sí"",""colombia"",""mujer"",63,""2015"",15101"
"67,""aysén"",""no"",""estados unidos"",""mujer"",23,""2015"",11201"
"68,""aysén"",""sí"",""ecuador"",""mujer"",27,""2015"",11201"
"69,""aysén"",""no"",""argentina"",""mujer"",27,""2015"",11201"
"70,""aysén"",""sí"",""colombia"",""mujer"",29,""2015"",11201"
"71,""aysén"",""sí"",""argentina"",""mujer"",14,""2015"",11201"
"72,""calama"",""no"",""bolivia"",""hombre"",1124,""2015"",2201"
"73,""calama"",""no"",""colombia"",""mujer"",112,""2015"",2201"
"74,""calama"",""sí"",""perú"",""mujer"",339,""2015"",2201"
"75,""calama"",""no"",""perú"",""hombre"",85,""2015"",2201"
"76,""calama"",""no"",""perú"",""mujer"",287,""2015"",2201"
"77,""calama"",""sí"",""ecuador"",""mujer"",164,""2015"",2201"
"78,""calama"",""sí"",""república dominicana"",""mujer"",125,""2015"",2201"
"79,""calama"",""no"",""méxico"",""mujer"",99,""2015"",2201"
"80,""calama"",""no"",""bolivia"",""mujer"",1963,""2015"",2201"
"81,""calama"",""sí"",""bolivia"",""hombre"",1711,""2015"",2201"
"82,""calama"",""sí"",""perú"",""hombre"",431,""2015"",2201"
"83,""calama"",""sí"",""españa"",""hombre"",99,""2015"",2201"
"84,""calama"",""sí"",""colombia"",""mujer"",248,""2015"",2201"
"85,""calama"",""sí"",""colombia"",""hombre"",588,""2015"",2201"
"86,""calama"",""sí"",""bolivia"",""mujer"",2742,""2015"",2201"
"87,""calama"",""no"",""argentina"",""mujer"",65,""2015"",2201"
"88,""calama"",""no"",""rusia"",""mujer"",119,""2015"",2201"
"89,""calama"",""no"",""ecuador"",""hombre"",82,""2015"",2201"
"90,""calama"",""no"",""colombia"",""hombre"",136,""2015"",2201"
"91,""calbuco"",""sí"",""no contesta"",""mujer"",166,""2015"",10102"
"92,""calera"",""sí"",""uruguay"",""hombre"",22,""2015"",5502"
"93,""calera"",""sí"",""argentina"",""mujer"",147,""2015"",5502"
