"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","sí","5102","mujer",14,"2009",5602
"algarrobo","no","13404","mujer",14,"2009",5602
"algarrobo","sí","5604","hombre",8,"2009",5602
"algarrobo","no","13130","mujer",14,"2009",5602
"algarrobo","no","6302","mujer",8,"2009",5602
"algarrobo","no","12101","hombre",22,"2009",5602
"algarrobo","no","6115","mujer",8,"2009",5602
"algarrobo","sí","5106","hombre",8,"2009",5602
"algarrobo","sí","10107","mujer",59,"2009",5602
"algarrobo","sí","13503","hombre",11,"2009",5602
"algarrobo","no","5102","mujer",73,"2009",5602
"algarrobo","sí","6310","mujer",8,"2009",5602
"algarrobo","no","8102","hombre",14,"2009",5602
"algarrobo","no","13101","hombre",112,"2009",5602
"algarrobo","no","10401","hombre",10,"2009",5602
"algarrobo","sí","5507","hombre",59,"2009",5602
"algarrobo","sí","5102","hombre",36,"2009",5602
"algarrobo","sí","12101","hombre",22,"2009",5602
"algarrobo","no sabe","","mujer",8,"2009",5602
"algarrobo","no","5605","hombre",8,"2009",5602
"algarrobo","no","5601","hombre",46,"2009",5602
"algarrobo","no","13102","mujer",11,"2009",5602
"algarrobo","no","6105","mujer",8,"2009",5602
"algarrobo","sí","15101","hombre",28,"2009",5602
"algarrobo","sí","13127","hombre",14,"2009",5602
"algarrobo","sí","8101","hombre",129,"2009",5602
"algarrobo","no","13109","mujer",14,"2009",5602
"algarrobo","sí","13130","hombre",11,"2009",5602
"algarrobo","no","5604","hombre",22,"2009",5602
"algarrobo","sí","5109","hombre",14,"2009",5602
"algarrobo","sí","5605","mujer",14,"2009",5602
"algarrobo","sí","8205","mujer",81,"2009",5602
"algarrobo","sí","5604","mujer",92,"2009",5602
"algarrobo","sí","9101","mujer",59,"2009",5602
"algarrobo","sí","99999","hombre",59,"2009",5602
"algarrobo","sí","8401","mujer",8,"2009",5602
"algarrobo","sí","5601","mujer",62,"2009",5602
"algarrobo","no","4102","mujer",14,"2009",5602
"algarrobo","sí","13601","hombre",81,"2009",5602
"algarrobo","no","6101","mujer",19,"2009",5602
"algarrobo","no","8101","mujer",250,"2009",5602
"algarrobo","sí","10304","hombre",10,"2009",5602
"algarrobo","sí","5505","mujer",118,"2009",5602
"algarrobo","no","13201","mujer",14,"2009",5602
"algarrobo","no","16030","mujer",12,"2009",5602
