"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"aisén ","no está afiliado","1956","hombre",9,"2006",11201
"aisén ","no sabe / sin dato","9999","hombre",37,"2006",11201
"algarrobo ","si, otra","1991","mujer",12,"2006",5602
"alto del carmen ","si, afp (administradora de fondos de pensiones)","1990","hombre",7,"2006",3302
"alto hospicio ","no está afiliado","2001","hombre",73,"2006",1107
"alto hospicio ","si, afp (administradora de fondos de pensiones)","1990","hombre",36,"2006",1107
"alto hospicio ","no está afiliado","1988","mujer",68,"2006",1107
"alto hospicio ","si, afp (administradora de fondos de pensiones)","1992","hombre",36,"2006",1107
"alto hospicio ","no sabe / sin dato","2000","mujer",73,"2006",1107
"alto hospicio ","está afiliado pero no está cotizando","1997","hombre",68,"2006",1107
"alto hospicio ","no está afiliado","2005","mujer",61,"2006",1107
"alto hospicio ","si, afp (administradora de fondos de pensiones)","1995","hombre",115,"2006",1107
"alto hospicio ","no está afiliado","1998","mujer",36,"2006",1107
"alto hospicio ","no está afiliado","2006","hombre",61,"2006",1107
"alto hospicio ","está afiliado pero no está cotizando","1998","hombre",72,"2006",1107
"alto hospicio ","no está afiliado","1992","mujer",103,"2006",1107
"alto hospicio ","no está afiliado","1989","hombre",74,"2006",1107
"alto hospicio ","está afiliado pero no está cotizando","2000","mujer",73,"2006",1107
"alto hospicio ","está afiliado pero no está cotizando","1977","mujer",73,"2006",1107
"alto hospicio ","no está afiliado","1994","hombre",36,"2006",1107
"alto hospicio ","no sabe / sin dato","2000","hombre",73,"2006",1107
"alto hospicio ","no está afiliado","2004","mujer",36,"2006",1107
"alto hospicio ","si, afp (administradora de fondos de pensiones)","1996","hombre",61,"2006",1107
"alto hospicio ","no está afiliado","2000","mujer",36,"2006",1107
"alto hospicio ","si, afp (administradora de fondos de pensiones)","2000","mujer",68,"2006",1107
"alto hospicio ","está afiliado pero no está cotizando","1993","mujer",42,"2006",1107
"alto hospicio ","no está afiliado","1997","mujer",267,"2006",1107
"ancud ","no está afiliado","1999","mujer",67,"2006",10202
"ancud ","si, afp (administradora de fondos de pensiones)","1980","hombre",46,"2006",10202
"andacollo ","no está afiliado","2006","mujer",12,"2006",4103
"andacollo ","está afiliado pero no está cotizando","2006","hombre",12,"2006",4103
"angol ","si, afp (administradora de fondos de pensiones)","1980","mujer",62,"2006",9201
"angol ","si, afp (administradora de fondos de pensiones)","1987","mujer",54,"2006",9201
"antofagasta ","si, afp (administradora de fondos de pensiones)","1953","hombre",362,"2006",2101
"antofagasta ","no está afiliado","1987","mujer",322,"2006",2101
"antofagasta ","no está afiliado","2001","mujer",289,"2006",2101
"antofagasta ","si, afp (administradora de fondos de pensiones)","2001","mujer",289,"2006",2101
"antofagasta ","si, afp (administradora de fondos de pensiones)","1982","hombre",259,"2006",2101
"antofagasta ","no está afiliado","2003","mujer",327,"2006",2101
"antuco ","no está afiliado","1991","mujer",5,"2006",8302
"antuco ","no está afiliado","1938","hombre",5,"2006",8302
"antuco ","no está afiliado","9999","hombre",6,"2006",8302
"antuco ","no está afiliado","1991","hombre",5,"2006",8302
"arica ","no está afiliado","1998","mujer",25,"2006",15101
"arica ","no está afiliado","1971","mujer",60,"2006",15101
"arica ","no está afiliado","1951","hombre",32,"2006",15101
"arica ","no está afiliado","1993","mujer",253,"2006",15101
