"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","otra nacionalidad (extranjeros)","perú","hombre",804,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","paraguay","mujer",31,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","perú","mujer",890,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","colombia","mujer",262,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","argentina","hombre",22,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","bolivia","hombre",1175,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","ecuador","hombre",147,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","ecuador","mujer",285,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","bolivia","mujer",1907,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","colombia","hombre",363,"2015",1107
"alto hospicio","otra nacionalidad (extranjeros)","paraguay","hombre",48,"2015",1107
"ancud","otra nacionalidad (extranjeros)","colombia","mujer",53,"2015",10202
"ancud","otra nacionalidad (extranjeros)","colombia","hombre",159,"2015",10202
"ancud","otra nacionalidad (extranjeros)","argentina","mujer",39,"2015",10202
"angol","otra nacionalidad (extranjeros)","república dominicana","mujer",22,"2015",9201
"angol","otra nacionalidad (extranjeros)","haití","hombre",22,"2015",9201
"antofagasta","otra nacionalidad (extranjeros)","perú","mujer",2098,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","paraguay","mujer",450,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","colombia","mujer",2328,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","perú","hombre",1444,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","no contesta","mujer",102,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","cuba","mujer",214,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","españa","hombre",222,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","argentina","mujer",581,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","argentina","hombre",96,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","colombia","hombre",860,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","ecuador","hombre",293,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","bolivia","mujer",1498,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","cuba","hombre",107,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","no contesta","hombre",102,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","uruguay","mujer",240,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","bolivia","hombre",1171,"2015",2101
"antofagasta","otra nacionalidad (extranjeros)","ecuador","mujer",293,"2015",2101
"arauco","otra nacionalidad (extranjeros)","italia","mujer",58,"2015",8202
"arica","otra nacionalidad (extranjeros)","argentina","hombre",32,"2015",15101
"arica","otra nacionalidad (extranjeros)","venezuela","mujer",77,"2015",15101
"arica","otra nacionalidad (extranjeros)","bolivia","hombre",870,"2015",15101
"arica","otra nacionalidad (extranjeros)","estados unidos","hombre",32,"2015",15101
"arica","otra nacionalidad (extranjeros)","colombia","hombre",240,"2015",15101
"arica","otra nacionalidad (extranjeros)","perú","hombre",1179,"2015",15101
"arica","otra nacionalidad (extranjeros)","perú","mujer",1430,"2015",15101
"arica","otra nacionalidad (extranjeros)","bolivia","mujer",1353,"2015",15101
"arica","otra nacionalidad (extranjeros)","brasil","hombre",32,"2015",15101
"arica","otra nacionalidad (extranjeros)","colombia","mujer",104,"2015",15101
"arica","otra nacionalidad (extranjeros)","argentina","mujer",82,"2015",15101
"aysén","otra nacionalidad (extranjeros)","colombia","mujer",29,"2015",11201
"aysén","otra nacionalidad (extranjeros)","ecuador","mujer",27,"2015",11201
"aysén","otra nacionalidad (extranjeros)","argentina","mujer",41,"2015",11201
