"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo ","no","1991","mujer",12,"2006",5602
"alto hospicio ","no","2000","hombre",146,"2006",1107
"alto hospicio ","no","2006","hombre",61,"2006",1107
"alto hospicio ","sí, en otra época del año","1989","hombre",74,"2006",1107
"alto hospicio ","no","1977","mujer",73,"2006",1107
"alto hospicio ","sí, en otra época del año","2004","mujer",36,"2006",1107
"alto hospicio ","no","2000","mujer",73,"2006",1107
"antofagasta ","sí, en otra época del año","2003","mujer",327,"2006",2101
"antofagasta ","no","1987","mujer",322,"2006",2101
"antofagasta ","no","2001","mujer",289,"2006",2101
"antuco ","no","9999","hombre",6,"2006",8302
"antuco ","no","1991","hombre",5,"2006",8302
"antuco ","no","1938","hombre",5,"2006",8302
"antuco ","no","1991","mujer",5,"2006",8302
"arica ","no","1980","mujer",17,"2006",15101
"arica ","no","1951","hombre",32,"2006",15101
"arica ","sí, en otra época del año","1998","mujer",25,"2006",15101
"arica ","sí, en otra época del año","1971","mujer",35,"2006",15101
"arica ","no","1971","mujer",25,"2006",15101
"arica ","no","1948","hombre",244,"2006",15101
"arica ","sí, en otra época del año","1954","mujer",35,"2006",15101
"arica ","sí, en otra época del año","1993","mujer",253,"2006",15101
"arica ","no","1958","mujer",258,"2006",15101
"arica ","no","1960","mujer",17,"2006",15101
"arica ","no","1974","mujer",21,"2006",15101
"arica ","si, ahora mismo","1978","mujer",25,"2006",15101
"buin ","sí, en otra época del año","1989","hombre",66,"2006",13402
"cabildo ","sí, en otra época del año","2001","mujer",37,"2006",5402
"cabo de hornos ","no","1995","hombre",4,"2006",12201
"calama ","no","1940","mujer",1,"2006",2201
"calama ","no","2006","mujer",246,"2006",2201
"calama ","no","9999","mujer",2,"2006",2201
"calbuco ","no","1993","hombre",106,"2006",10102
"calbuco ","no","1994","hombre",36,"2006",10102
"calbuco ","sí, en otra época del año","1990","mujer",35,"2006",10102
"calbuco ","no","1960","mujer",35,"2006",10102
"calbuco ","no","1994","mujer",36,"2006",10102
"calbuco ","no","1999","mujer",68,"2006",10102
"caldera ","sí, en otra época del año","2004","mujer",22,"2006",3102
"calera de tango ","sí, en otra época del año","1944","mujer",17,"2006",13403
"camarones ","no","1995","mujer",3,"2006",15102
"camarones ","no","1999","mujer",5,"2006",15102
"camiña ","no","1996","mujer",4,"2006",1402
"camiña ","no","9999","mujer",1,"2006",1402
"camiña ","no","2005","mujer",2,"2006",1402
"camiña ","sí, en otra época del año","2005","mujer",1,"2006",1402
"camiña ","no","1998","mujer",2,"2006",1402
"camiña ","no","2006","mujer",2,"2006",1402
"camiña ","sí, en otra época del año","1986","mujer",2,"2006",1402
"cañete ","no","1996","mujer",103,"2006",8203
"carahue ","no","1989","hombre",25,"2006",9102
"cartagena ","sí, en otra época del año","1998","mujer",30,"2006",5603
"casablanca ","no","1992","hombre",35,"2006",5102
"castro ","no","2001","hombre",47,"2006",10201
"castro ","sí, en otra época del año","1972","mujer",66,"2006",10201
"castro ","sí, en otra época del año","1990","hombre",65,"2006",10201
"castro ","no","2001","mujer",47,"2006",10201
"castro ","no","1980","mujer",29,"2006",10201
"cerrillos ","no","2005","mujer",83,"2006",13102
"cerrillos ","no","9999","mujer",71,"2006",13102
"cerrillos ","si, ahora mismo","1988","mujer",67,"2006",13102
"cerrillos ","no","2001","mujer",67,"2006",13102
"cerro navia ","no","9999","mujer",103,"2006",13103
"cerro navia ","si, ahora mismo","9999","mujer",110,"2006",13103
"cerro navia ","sí, en otra época del año","1960","mujer",105,"2006",13103
"chaitén ","no","1938","mujer",10,"2006",10401
"chañaral ","no","2004","mujer",22,"2006",3201
"chile chico ","no","1960","mujer",4,"2006",11401
"chile chico ","no","2003","hombre",4,"2006",11401
"chile chico ","no","2003","mujer",8,"2006",11401
"chile chico ","no","1942","mujer",10,"2006",11401
"chile chico ","no","1999","hombre",4,"2006",11401
"chillán ","no","1931","hombre",181,"2006",16101
"chillán ","no","1928","mujer",150,"2006",16101
"chillán ","no","1930","mujer",156,"2006",16101
"chillán viejo ","no","1996","mujer",50,"2006",16103
"chimbarongo ","si, ahora mismo","2001","mujer",58,"2006",6303
"cholchol ","no","9999","mujer",23,"2006",9121
"chonchi ","si, ahora mismo","1986","mujer",21,"2006",10203
"cisnes ","no","2003","mujer",4,"2006",11202
"cisnes ","sí, en otra época del año","1989","mujer",5,"2006",11202
"cobquecura ","sí, en otra época del año","1996","hombre",9,"2006",16202
"cobquecura ","no","9999","hombre",18,"2006",16202
"codegua ","sí, en otra época del año","1980","mujer",8,"2006",6102
"coinco ","no","1994","hombre",10,"2006",6103
"coinco ","no","1994","mujer",20,"2006",6103
"coinco ","no","9999","hombre",10,"2006",6103
"colbún ","no","1929","hombre",25,"2006",7402
"colbún ","no","1999","mujer",26,"2006",7402
"colbún ","no","1986","hombre",20,"2006",7402
"colchane ","no","2002","mujer",2,"2006",1403
"colchane ","no","1995","mujer",2,"2006",1403
"colchane ","no","2004","mujer",2,"2006",1403
"colchane ","no","1999","mujer",2,"2006",1403
"colchane ","no","2001","mujer",2,"2006",1403
"colchane ","no","1990","mujer",3,"2006",1403
"collipulli ","sí, en otra época del año","9999","hombre",55,"2006",9202
"concepción ","no","2006","mujer",223,"2006",8101
"concepción ","no","1989","mujer",192,"2006",8101
"concepción ","no","2004","mujer",183,"2006",8101
"conchalí ","no","1949","mujer",111,"2006",13104
"concón ","si, ahora mismo","2004","mujer",152,"2006",5103
"concón ","si, ahora mismo","2005","mujer",76,"2006",5103
"concón ","no","9999","mujer",75,"2006",5103
"concón ","no","1998","mujer",65,"2006",5103
"constitución ","no","2002","mujer",33,"2006",7102
"copiapó ","no","2003","hombre",163,"2006",3101
"copiapó ","sí, en otra época del año","1990","mujer",167,"2006",3101
"copiapó ","no","2003","mujer",163,"2006",3101
"coquimbo ","no","1980","mujer",162,"2006",4102
"coronel ","si, ahora mismo","2001","mujer",100,"2006",8102
"coronel ","sí, en otra época del año","2001","hombre",100,"2006",8102
"coronel ","sí, en otra época del año","2001","mujer",100,"2006",8102
"corral ","no","1980","hombre",14,"2006",14102
"corral ","sí, en otra época del año","2000","hombre",14,"2006",14102
"corral ","no","1992","hombre",7,"2006",14102
"corral ","no","2001","mujer",14,"2006",14102
"coyhaique ","no","9999","mujer",84,"2006",10509
"coyhaique ","sí, en otra época del año","1932","hombre",12,"2006",10509
"coyhaique ","no","9999","hombre",11,"2006",10509
"cunco ","no","9999","mujer",49,"2006",9103
"cunco ","no","1988","mujer",21,"2006",9103
"curacautín ","no","1989","hombre",28,"2006",9203
"curacautín ","no","1998","mujer",23,"2006",9203
"curacaví ","no","1968","hombre",32,"2006",13503
"curanilahue ","no","9999","mujer",48,"2006",8205
"curanilahue ","sí, en otra época del año","1990","hombre",39,"2006",8205
"curanilahue ","no","1998","mujer",40,"2006",8205
"curarrehue ","no","9999","hombre",6,"2006",9104
"curarrehue ","no","1964","mujer",10,"2006",9104
"dalcahue ","no","1990","mujer",13,"2006",10205
"diego de almagro ","sí, en otra época del año","2002","mujer",22,"2006",3202
"diego de almagro ","sí, en otra época del año","2004","mujer",22,"2006",3202
"doñihue ","no","9999","hombre",7,"2006",6105
"doñihue ","no","1992","hombre",7,"2006",6105
"el monte ","si, ahora mismo","1990","mujer",28,"2006",13602
"el monte ","no","2004","hombre",19,"2006",13602
"el monte ","si, ahora mismo","1990","hombre",88,"2006",13602
"el quisco ","no","1995","hombre",20,"2006",5604
"el tabo ","no","1990","hombre",14,"2006",5605
"ercilla ","no","1999","mujer",30,"2006",9204
"ercilla ","no","1996","hombre",16,"2006",9204
"estación central ","no","2005","mujer",180,"2006",13106
"estación central ","no","1996","hombre",114,"2006",13106
"estación central ","sí, en otra época del año","1981","mujer",105,"2006",13106
"estación central ","no","9999","hombre",107,"2006",13106
"estación central ","si, ahora mismo","1991","mujer",114,"2006",13106
"florida ","no","1992","hombre",14,"2006",8104
"florida ","no","1992","mujer",14,"2006",8104
"freirina ","si, ahora mismo","1986","mujer",9,"2006",3303
"frutillar ","si, ahora mismo","1996","mujer",18,"2006",10105
"frutillar ","no","1990","mujer",19,"2006",10105
"frutillar ","no","1999","mujer",29,"2006",10105
"futaleufú ","no","1976","mujer",2,"2006",10402
"futaleufú ","no","1994","mujer",2,"2006",10402
"futaleufú ","sí, en otra época del año","1989","mujer",2,"2006",10402
"futaleufú ","no","1994","hombre",2,"2006",10402
"futaleufú ","no","2000","mujer",4,"2006",10402
"futaleufú ","no","9999","hombre",7,"2006",10402
"futaleufú ","no","1941","mujer",7,"2006",10402
"futaleufú ","no","1998","mujer",4,"2006",10402
"futaleufú ","no","2002","mujer",4,"2006",10402
"futaleufú ","no","1952","mujer",2,"2006",10402
"futrono ","sí, en otra época del año","9999","hombre",18,"2006",14202
"general lagos ","sí, en otra época del año","1992","hombre",3,"2006",15202
"general lagos ","sí, en otra época del año","1992","mujer",3,"2006",15202
"gorbea ","no","1934","mujer",21,"2006",9107
"gorbea ","no","1988","hombre",17,"2006",9107
"gorbea ","si, ahora mismo","1990","hombre",21,"2006",9107
"gorbea ","no","1990","mujer",27,"2006",9107
"graneros ","no","9999","mujer",41,"2006",6106
"hijuelas ","no","1997","mujer",23,"2006",5503
"hijuelas ","no","1980","mujer",25,"2006",5503
"hijuelas ","no","2002","mujer",30,"2006",5503
"hijuelas ","sí, en otra época del año","1968","mujer",21,"2006",5503
"hualaihué ","no","1990","hombre",8,"2006",10403
"hualañé ","no","2000","hombre",11,"2006",7302
