"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","no","4101","mujer",11,"2009",5602
"algarrobo","no","8414","mujer",11,"2009",5602
"algarrobo","no","6101","mujer",8,"2009",5602
"algarrobo","no","5109","mujer",14,"2009",5602
"algarrobo","no","6105","mujer",8,"2009",5602
"algarrobo","no","13101","hombre",188,"2009",5602
"algarrobo","no","8101","mujer",191,"2009",5602
"algarrobo","sí, ahora mismo","5601","hombre",12,"2009",5602
"algarrobo","sí, ahora mismo","","hombre",59,"2009",5602
"algarrobo","no","99999","mujer",10,"2009",5602
"algarrobo","sí, en otra época del año","8401","mujer",14,"2009",5602
"algarrobo","no","6310","mujer",8,"2009",5602
"algarrobo","sí, en otra época del año","7304","mujer",8,"2009",5602
"algarrobo","no","5102","mujer",87,"2009",5602
"algarrobo","no","13126","mujer",14,"2009",5602
"algarrobo","sí, ahora mismo","5601","mujer",14,"2009",5602
"algarrobo","no","8401","hombre",32,"2009",5602
"algarrobo","no","","mujer",1396,"2009",5602
"algarrobo","no","9211","hombre",14,"2009",5602
"algarrobo","no","13109","mujer",14,"2009",5602
"algarrobo","no","6115","mujer",8,"2009",5602
"algarrobo","no","6302","mujer",8,"2009",5602
"algarrobo","no","12101","hombre",44,"2009",5602
"algarrobo","no","5601","hombre",91,"2009",5602
"algarrobo","no","13101","mujer",251,"2009",5602
"algarrobo","no","5101","hombre",14,"2009",5602
"algarrobo","no","5605","mujer",14,"2009",5602
"algarrobo","no","9114","mujer",8,"2009",5602
"algarrobo","sí, ahora mismo","","mujer",91,"2009",5602
"algarrobo","no","15101","hombre",28,"2009",5602
"algarrobo","no","6117","mujer",14,"2009",5602
"algarrobo","no","5601","mujer",42,"2009",5602
"algarrobo","no","8301","mujer",14,"2009",5602
"algarrobo","sí, ahora mismo","13120","hombre",12,"2009",5602
"algarrobo","sí, en otra época del año","","mujer",14,"2009",5602
"algarrobo","no","6301","hombre",11,"2009",5602
"algarrobo","no","1101","mujer",10,"2009",5602
"algarrobo","no","10401","hombre",10,"2009",5602
"algarrobo","no","7401","hombre",8,"2009",5602
"algarrobo","no","5101","mujer",14,"2009",5602
"algarrobo","no","7301","mujer",11,"2009",5602
"algarrobo","no","8401","mujer",19,"2009",5602
"algarrobo","no","16999","hombre",22,"2009",5602
"algarrobo","no","8102","hombre",14,"2009",5602
"algarrobo","no","8416","mujer",19,"2009",5602
"algarrobo","no","6301","mujer",11,"2009",5602
"algarrobo","no","","hombre",754,"2009",5602
"algarrobo","no","2301","hombre",12,"2009",5602
"algarrobo","no","12101","mujer",44,"2009",5602
"algarrobo","no","4203","mujer",10,"2009",5602
"algarrobo","no","10303","mujer",81,"2009",5602
"algarrobo","no","13501","mujer",11,"2009",5602
"algarrobo","sí, ahora mismo","13101","mujer",53,"2009",5602
"algarrobo","no","5301","mujer",14,"2009",5602
"algarrobo","no","13201","mujer",14,"2009",5602
"algarrobo","no","4301","mujer",14,"2009",5602
"algarrobo","no","4102","mujer",14,"2009",5602
"algarrobo","no","13401","mujer",12,"2009",5602
"alhué","sí, ahora mismo","2201","mujer",6,"2009",13502
"alhué","no","13602","mujer",5,"2009",13502
"alhué","no","5501","hombre",5,"2009",13502
"alhué","no","13130","mujer",5,"2009",13502
"alhué","no","13108","mujer",5,"2009",13502
"alhué","no","6117","mujer",15,"2009",13502
"alhué","no","9104","mujer",6,"2009",13502
"alhué","sí, ahora mismo","9101","hombre",5,"2009",13502
"alhué","sí, ahora mismo","","mujer",53,"2009",13502
"alhué","no","13116","mujer",8,"2009",13502
"alhué","sí, ahora mismo","14101","hombre",5,"2009",13502
"alhué","sí, ahora mismo","5502","mujer",10,"2009",13502
"alhué","no","","hombre",475,"2009",13502
"alhué","no","13602","hombre",8,"2009",13502
"alhué","no","13123","mujer",4,"2009",13502
"alhué","no","5401","mujer",5,"2009",13502
"alhué","no","5601","mujer",5,"2009",13502
"alhué","sí, ahora mismo","13108","hombre",6,"2009",13502
"alhué","sí, en otra época del año","13129","mujer",6,"2009",13502
"alhué","no","13126","hombre",8,"2009",13502
"alhué","no","9201","mujer",5,"2009",13502
"alhué","no","13101","mujer",59,"2009",13502
"alhué","sí, en otra época del año","","hombre",6,"2009",13502
"alhué","no","6112","mujer",6,"2009",13502
